frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.12,0.12,7457.833333333333,12267.433333333332,9464.3,11845.5,8461.066666666666,12056.466666666667,0.19308529162712312,0.2359617705581107
2,0.24,0.24,51193.5,64251.23333333333,58778.96428571428,61949.26666666667,54986.232142857145,63100.25,1.2548101896664248,1.234959389372737
3,0.36,0.36,94403.03448275862,107866.6551724138,104093.31034482758,104005.66666666667,99248.1724137931,105936.16091954024,2.2648872853670428,2.073317563744794
4,0.5,0.5,136271.8620689655,148978.72413793104,149673.4827586207,141606.85185185185,142972.6724137931,145292.78799489146,3.2626997558692032,2.843581328797171
5,0.62,0.62,178547.55172413794,185463.0,195739.5172413793,178750.8620689655,187143.5344827586,182106.93103448275,4.270698406631239,3.5640851557781144
6,0.74,0.74,213478.63333333333,216853.26666666666,233898.03333333333,209010.53333333333,223688.3333333333,212931.9,5.104666914563782,4.167372541344554
7,0.86,0.86,244821.63333333333,246950.55555555556,268080.0,236801.2,256450.81666666665,241875.8777777778,5.852321305914607,4.733846321122963
8,1.0,1.0,275403.3448275862,274804.5517241379,301470.8620689655,264215.1034482759,288437.1034482758,269509.8275862069,6.582262547912756,5.274681037013542
9,0.88,0.88,253526.1379310345,252427.1724137931,277588.1379310345,241244.7931034483,265557.1379310345,246835.9827586207,6.060131593464728,4.830922453442033
10,0.76,0.76,109084.33333333333,115379.89655172414,120238.46666666666,102946.13333333333,114661.4,109163.01494252874,2.61662397066259,2.1364715714361235
11,0.64,0.64,30542.655172413793,29610.48275862069,35006.275862068964,28427.689655172413,32774.46551724138,29019.08620689655,0.7479278300986058,0.5679437558840699
12,0.5,0.5,-2961.0,-5656.633333333333,-1540.1666666666667,-6067.0,-2250.5833333333335,-5861.816666666667,-0.05135930921804299,-0.11472388035358971
13,0.38,0.38,-10143.107142857143,-16789.166666666668,-9446.666666666666,-17397.8,-9794.886904761905,-17093.483333333334,-0.22352366066460988,-0.33454317121701405
14,0.26,0.26,-10428.758620689656,-19032.178571428572,-9788.111111111111,-19943.758620689656,-10108.434865900384,-19487.968596059116,-0.23067896411518113,-0.3814065680802254
15,0.14,0.14,-10108.3,-20289.827586206895,-9441.2,-20851.033333333333,-9774.75,-20570.430459770112,-0.22306412757243632,-0.40259184773011275
16,0.0,0.0,-9864.466666666667,-20533.466666666667,-9131.92,-21212.633333333335,-9498.193333333333,-20873.050000000003,-0.21675298185777958,-0.40851453175457486
17,0.5,0.5,-8496.933333333332,-17416.35714285714,-7624.933333333333,-17453.7,-8060.9333333333325,-17435.02857142857,-0.1839540716048565,-0.3412276851243482
18,1.0,1.0,64463.03448275862,75101.86206896552,72248.93103448275,66975.44827586207,68355.9827586207,71038.6551724138,1.5599138247431623,1.3903249862494138
19,1.5,1.5,325718.56666666665,324600.6,356695.0,313154.63333333336,341206.7833333333,318877.6166666667,7.786490032588794,6.2408771243109245
20,2.0,2.0,434252.0,432617.5517241379,474085.6551724138,415156.0,454168.8275862069,423886.775862069,10.364333951877388,8.296051978903396
21,2.5,2.5,478980.36666666664,475500.275862069,522249.26666666666,456166.93333333335,500614.81666666665,465833.60459770117,11.42425200947187,9.117009582105904
22,3.0,3.0,502622.3793103448,503490.1034482759,548354.8620689656,482635.8620689655,525488.6206896552,493062.9827586207,11.991883242372527,9.649926269862426
23,3.5,3.5,520091.9655172414,524061.5862068966,567847.0689655172,501500.5172413793,543969.5172413792,512781.051724138,12.41362549317861,10.035836221237656
24,4.0,4.0,523986.3333333333,526595.0,570138.2333333333,502327.9259259259,547062.2833333333,514461.4629629629,12.48420378623852,10.068724199294705
25,3.5,3.5,347387.8275862069,328444.5517241379,376155.4827586207,312367.724137931,361771.6551724138,320406.13793103443,8.255789523156169,6.2707924049522346
26,3.0,3.0,22807.033333333333,13706.366666666667,25482.166666666668,12086.766666666666,24144.6,12896.566666666666,0.5509904738827536,0.25240369246827804
27,2.5,2.5,-8502.75,-17269.39285714286,-7676.285714285715,-17691.931034482757,-8089.517857142857,-17480.661945812808,-0.18460638310803,-0.3421207935377788
28,2.0,2.0,-8110.827586206897,-17049.925925925927,-7241.533333333334,-18006.5,-7676.180459770116,-17528.212962962964,-0.17517384049179816,-0.3430514328792047
29,1.5,1.5,-8210.1,-17609.566666666666,-7362.6551724137935,-18505.666666666668,-7786.377586206897,-18057.61666666667,-0.17768858776099788,-0.35341259744919595
30,1.0,1.0,-8012.2692307692305,-17401.4,-7439.413793103448,-17974.185185185186,-7725.84151193634,-17687.792592592596,-0.17630712771405838,-0.34617462750939615
31,0.5,0.5,-8247.966666666667,-17580.4,-7605.724137931034,-17479.666666666668,-7926.845402298851,-17530.033333333333,-0.18089412558534707,-0.343087060051538
32,0.0,0.0,-8988.6,-17766.43023255814,-8722.232558139534,-18004.43820224719,-8855.416279069766,-17885.434217402668,-0.20208452457417814,-0.3500427481632776
