frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,-860.2333333333333,371.0,341.7,-1274.5333333333333,-259.26666666666665,-451.76666666666665,-0.00591658025101549,-0.008841700101118831
2,0.5,0.5,34247.862068965514,277.2758620689655,38200.206896551725,-1767.6206896551723,36224.03448275862,-745.1724137931034,0.8266485228829793,-0.014584057418399127
3,0.74,0.74,56471.96666666667,348.5,62100.26666666667,-1273.2333333333333,59286.11666666667,-462.3666666666667,1.3529354603859616,-0.009049156799425907
4,1.0,1.0,72981.0,254.3448275862069,79918.1,-1702.4444444444443,76449.55,-724.0498084291187,1.744612616594322,-0.014170658742129732
5,1.24,1.24,88215.96666666666,324.0689655172414,96140.29629629629,-1979.7333333333333,92178.13148148148,-827.832183908046,2.103545817557891,-0.016201823738292317
6,1.5,1.5,100526.75862068965,437.0344827586207,109512.13793103448,-1535.8620689655172,105019.44827586206,-549.4137931034483,2.396590358607,-0.010752789766189416
7,1.74,1.74,112122.06666666667,336.7037037037037,121773.33333333333,-1513.4074074074074,116947.7,-588.3518518518518,2.6687983500450665,-0.011514861568682882
8,2.0,2.0,123029.55172413793,331.7142857142857,133504.75862068965,-1754.2413793103449,128267.1551724138,-711.2635467980296,2.9271133343290416,-0.013920413872160281
9,2.24,2.24,133214.89655172414,340.64285714285717,144731.56666666668,-1223.7,138973.2316091954,-441.52857142857147,3.171430743991131,-0.008641326380831225
10,2.5,2.5,141598.06666666668,425.0,153610.43333333332,-1495.0,147604.25,-535.0,3.3683944092926965,-0.010470691848517467
11,2.74,2.74,151415.55172413794,442.44444444444446,164276.1724137931,-1498.0689655172414,157845.8620689655,-527.8122605363985,3.6021125362114543,-0.010330017820459898
12,3.0,3.0,161530.96666666667,312.58620689655174,175010.6,-1131.2,168270.78333333333,-409.30689655172415,3.8400138602194898,-0.008010703523861908
13,3.24,3.24,172826.16666666666,351.96666666666664,187253.36666666667,-1580.7666666666667,180039.76666666666,-614.4,4.108587276385074,-0.012024659947157255
