frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,5832.166666666667,-194.41379310344828,7512.666666666667,-1343.4333333333334,6672.416666666667,-768.9235632183909,0.15226750582365622,-0.015048900346773478
2,0.5,0.5,31555.133333333335,-164.31034482758622,35263.7,-1756.8,33409.416666666664,-960.5551724137931,0.7624176967650337,-0.018799396661391393
3,0.74,0.74,49421.48275862069,-117.53571428571429,54380.51724137931,-1675.0689655172414,51901.0,-896.3023399014778,1.1844038246642643,-0.017541879634043994
4,1.0,1.0,62593.26666666667,-159.86666666666667,68560.2,-1284.962962962963,65576.73333333334,-722.4148148148149,1.4964901209801076,-0.014138659649962127
5,1.24,1.24,74943.86666666667,-160.82758620689654,81843.76666666666,-1728.5384615384614,78393.81666666667,-944.683023872679,1.7889816437068486,-0.01848875670560092
6,1.5,1.5,86768.26666666666,-208.3793103448276,94503.76666666666,-1326.4,90636.01666666666,-767.3896551724139,2.0683540739549144,-0.015018879639346587
7,1.74,1.74,98203.62068965517,-184.35714285714286,106914.58620689655,-1746.0,102559.10344827586,-965.1785714285714,2.340444199115159,-0.018889882991067062
8,2.0,2.0,109437.86666666667,-229.96666666666667,118907.83333333333,-1812.5666666666666,114172.85,-1021.2666666666667,2.605475043117076,-0.01998760478846593
9,2.24,2.24,119948.93333333333,-153.85185185185185,130395.93333333333,-1819.3,125172.43333333333,-986.575925925926,2.85649041025284,-0.019308658888852647
10,2.5,2.5,129298.4827586207,-175.11111111111111,140306.2068965517,-2092.04,134802.3448275862,-1133.5755555555556,3.076249258925726,-0.022185645475204144
11,2.74,2.74,139314.6,-172.5,151229.7931034483,-1829.1538461538462,145272.19655172416,-1000.8269230769231,3.31517591594075,-0.01958757066399693
12,3.0,3.0,148871.0,-195.53571428571428,161403.33333333334,-1332.3461538461538,155137.1666666667,-763.940934065934,3.5402989065254515,-0.014951383385183169
13,3.24,3.24,156330.4,-190.58620689655172,169497.1,-1555.9,162913.75,-873.2431034482759,3.717763985094657,-0.01709057840196254
14,3.5,3.5,164522.43333333332,-163.6,178368.33333333334,-1488.923076923077,171445.38333333333,-826.2615384615384,3.9124596393331714,-0.01617108402899576
15,3.74,3.74,173638.46666666667,-240.51724137931035,188187.83333333334,-1239.4,180913.15000000002,-739.9586206896552,4.128518271171265,-0.014482016257748413
16,4.0,4.0,182147.41379310345,-166.96296296296296,197519.6551724138,-1469.655172413793,189833.5344827586,-818.309067688378,4.332085398950209,-0.01601544314880865
17,4.24,4.24,189601.93333333332,-150.46666666666667,205490.6,-1387.923076923077,197546.26666666666,-769.1948717948718,4.508093365988067,-0.015054210231820566
18,4.5,4.5,196806.76666666666,-180.0,213311.73333333334,-1664.2,205059.25,-922.1,4.67954297571888,-0.018046775614052254
19,4.74,4.74,205374.37931034484,-191.20689655172413,222462.58620689655,-1932.9655172413793,213918.4827586207,-1062.0862068965516,4.881714594048031,-0.02078649979247581
20,5.0,5.0,213110.8275862069,-110.53571428571429,230658.9,-1815.1333333333334,221884.86379310343,-962.8345238095238,5.063510940283638,-0.01884400672882912
21,4.76,4.76,195334.57142857142,-176.44827586206895,211405.4827586207,-1704.3103448275863,203370.02709359606,-940.3793103448277,4.640994160261464,-0.018404527064190775
22,4.5,4.5,126615.36666666667,-173.48275862068965,137480.36666666667,-1719.7666666666667,132047.86666666667,-946.6247126436781,3.0133908463951915,-0.0185267582472586
23,4.26,4.26,82878.26666666666,-203.23333333333332,90229.4,-1782.9333333333334,86553.83333333333,-993.0833333333334,1.9751968408961926,-0.01943601787519979
24,4.0,4.0,51974.03333333333,-162.07407407407408,57115.26666666667,-1631.2068965517242,54544.65,-896.6404853128992,1.2447330894390025,-0.017548497608629008
25,3.76,3.76,30472.58620689655,-224.42857142857142,34045.724137931036,-1767.0689655172414,32259.155172413793,-995.7487684729064,0.7361682196228374,-0.019488184136860875
26,3.5,3.5,14509.3,-208.6551724137931,16595.4,-1345.6896551724137,15552.35,-777.1724137931034,0.3549115204430988,-0.0152103417906469
27,3.26,3.26,2000.7666666666667,-159.96666666666667,3134.0,-1490.4,2567.383333333333,-825.1833333333334,0.058588825636871886,-0.016149982059562255
28,3.0,3.0,-7478.8,-215.10344827586206,-6868.4,-1964.3103448275863,-7173.6,-1089.7068965517242,-0.1637047316354515,-0.021327074988780198
29,2.76,2.76,-12293.620689655172,-160.92857142857142,-12077.892857142857,-1823.7777777777778,-12185.756773399014,-992.3531746031746,-0.27808437079906473,-0.019421727656388582
30,2.5,2.5,-12087.7,-257.44827586206895,-12107.433333333332,-1612.4666666666667,-12097.566666666666,-934.9574712643678,-0.27607183347393915,-0.018298414155286578
31,2.26,2.26,-12255.466666666667,-190.93103448275863,-12090.48275862069,-1602.8666666666666,-12172.974712643678,-896.8988505747126,-0.27779267850709133,-0.017553554175060427
32,2.0,2.0,-12208.035714285714,-201.89285714285714,-12118.655172413793,-1778.8620689655172,-12163.345443349754,-990.3774630541872,-0.2775729343137146,-0.019383060241788572
33,1.76,1.76,-12432.9,-299.6333333333333,-12068.518518518518,-1599.1,-12250.70925925926,-949.3666666666666,-0.27956661531601673,-0.01858042208957171
34,1.5,1.5,-12286.333333333334,-166.53846153846155,-12108.133333333333,-1938.2413793103449,-12197.233333333334,-1052.3899204244033,-0.27834627098365067,-0.020596730021027562
35,1.26,1.26,-12143.6,-174.66666666666666,-12102.866666666667,-1421.1666666666667,-12123.233333333334,-797.9166666666667,-0.276657558183798,-0.015616335584042797
36,1.0,1.0,-12127.655172413793,-224.64285714285714,-12089.92,-1450.0344827586207,-12108.787586206898,-837.3386699507389,-0.27632789983142164,-0.016387878852152635
37,0.76,0.76,-12117.103448275862,-214.03703703703704,-12101.413793103447,-1531.5666666666666,-12109.258620689656,-872.8018518518518,-0.2763386490471001,-0.017081942496366607
38,0.5,0.5,-12243.2,-141.89285714285714,-12039.423076923076,-1667.3,-12141.311538461538,-904.5964285714285,-0.2770701108378299,-0.01770420645016985
39,0.26,0.26,-12217.366666666667,-195.8,-12020.916666666666,-1903.4,-12119.141666666666,-1049.6000000000001,-0.27656418453686915,-0.020542127409726982
40,0.0,0.0,-12201.586206896553,-219.10714285714286,-12082.241379310344,-1369.2068965517242,-12141.91379310345,-794.1570197044335,-0.2770838545557024,-0.015542754079742314
41,1.0,1.0,-12182.793103448275,-257.07142857142856,-12011.72,-1392.0666666666666,-12097.256551724138,-824.5690476190475,-0.27606475651349494,-0.016137959636344994
42,2.0,2.0,-11959.466666666667,-263.0357142857143,-11949.57142857143,-1811.6666666666667,-11954.519047619047,-1037.3511904761906,-0.2728074234026666,-0.02030240122274568
43,3.0,3.0,5756.3,-214.66666666666666,7419.7,-1905.5,6588.0,-1060.0833333333333,0.1503410800733738,-0.020747300779593567
44,4.0,4.0,102207.31034482758,-171.51724137931035,111479.68965517242,-1415.392857142857,106843.5,-793.4550492610838,2.438216027446799,-0.015529015544790758
45,5.0,5.0,200326.1724137931,-93.6,218000.63333333333,-1520.9333333333334,209163.40287356323,-807.2666666666667,4.773201563423454,-0.015799328049058942
46,6.0,6.0,276073.43333333335,-160.3,298840.63333333336,-2008.3,287457.0333333333,-1084.3,6.5598969134822624,-0.02122125452588316
47,7.0,7.0,309919.8620689655,-191.75,335102.3448275862,-1483.4827586206898,322511.1034482758,-837.6163793103449,7.3598463309152065,-0.016393314009401014
48,8.0,8.0,334630.8,-154.5,361892.8,-1671.7666666666667,348261.8,-913.1333333333333,7.9474886399965525,-0.017871285513911993
49,9.0,9.0,359550.93333333335,-234.89285714285714,388686.4666666667,-1906.7333333333333,374118.7,-1070.8130952380952,8.537554558841304,-0.020957297098308937
50,10.0,10.0,381718.4482758621,-189.07407407407408,412348.4137931034,-1202.7931034482758,397033.4310344828,-695.933588761175,9.060478877802293,-0.013620385336357276
51,11.0,11.0,398353.1,-219.43333333333334,430516.63333333336,-1378.4666666666667,414434.8666666667,-798.95,9.457587351962863,-0.015636559350229964
52,12.0,12.0,415419.1666666667,-199.53571428571428,448950.7,-2133.0333333333333,432184.93333333335,-1166.2845238095238,9.862651740857983,-0.022825805339260666
53,13.0,13.0,428857.4137931034,-232.14285714285714,463436.9310344828,-1764.7241379310344,446147.1724137931,-998.4334975369458,10.181276225314416,-0.019540728007377352
54,14.0,14.0,438814.43333333335,-243.03333333333333,474173.1666666667,-1200.7,456493.80000000005,-721.8666666666667,10.417390852883834,-0.014127931630622696
55,15.0,15.0,452091.26666666666,-188.2,488338.2,-2022.4666666666667,470214.73333333334,-1105.3333333333333,10.73050863323418,-0.021632906024725184
56,16.0,16.0,466012.1,-171.83333333333334,503228.1,-1117.4666666666667,484620.1,-644.65,11.059245485620282,-0.01261669439279773
57,17.0,17.0,481069.9310344828,-265.60714285714283,519536.5172413793,-1615.2758620689656,500303.224137931,-940.4415024630542,11.41714132985546,-0.018405744250182095
58,18.0,18.0,495667.86666666664,-191.33333333333334,535209.7333333333,-1485.3,515438.79999999993,-838.3166666666666,11.76254187973948,-0.016407019604005608
59,19.0,19.0,506999.5333333333,-210.92857142857142,547643.9,-1579.3333333333333,527321.7166666667,-895.1309523809523,12.033715305071686,-0.01751895395598302
60,20.0,20.0,517096.6551724138,-169.92857142857142,558304.6551724138,-1802.2413793103449,537700.6551724138,-986.0849753694581,12.270567282146542,-0.019299050305694454
61,19.0,19.0,423996.23333333334,-117.93103448275862,457369.2,-1539.1333333333334,440682.7166666667,-828.532183908046,10.05657492309278,-0.01621552370893524
62,18.0,18.0,180009.1,-258.03333333333336,194693.96666666667,-1825.8,187351.53333333333,-1041.9166666666667,4.275445032595025,-0.020391753922432074
63,17.0,17.0,75668.4827586207,-116.73076923076923,82433.03448275862,-1722.9655172413793,79050.75862068965,-919.8481432360743,1.803973350281428,-0.01800270365468391
64,16.0,16.0,28092.74074074074,-207.58620689655172,30726.133333333335,-1505.6,29409.437037037038,-856.5931034482758,0.6711363886609032,-0.016764714814527366
65,15.0,15.0,1197.8,-210.3448275862069,2636.633333333333,-1478.1666666666667,1917.2166666666667,-844.2557471264369,0.04375173412285066,-0.016523255643926742
66,14.0,14.0,-11441.6,-183.3448275862069,-11294.533333333333,-1712.857142857143,-11368.066666666666,-948.1009852216749,-0.25942432012944516,-0.018555650948657892
67,13.0,13.0,-12226.076923076924,-223.13793103448276,-12127.862068965518,-1699.5333333333333,-12176.969496021222,-961.335632183908,-0.27788384123441967,-0.018814671341303612
68,12.0,12.0,-12321.32142857143,-170.4814814814815,-12106.896551724138,-1653.2413793103449,-12214.108990147783,-911.8614303959132,-0.27873138095214367,-0.017846392609764422
69,11.0,11.0,-12350.933333333332,-216.64285714285714,-12088.214285714286,-2051.3,-12219.573809523808,-1133.9714285714288,-0.27885609055253796,-0.022193393259055266
70,10.0,10.0,-12324.0,-229.13333333333333,-12116.5,-1921.3333333333333,-12220.25,-1075.2333333333333,-0.2788715215189202,-0.02104380728707962
71,9.0,9.0,-12231.862068965518,-190.96296296296296,-12090.67857142857,-1671.9655172413793,-12161.270320197043,-931.4642401021712,-0.27752557908358955,-0.018230046777613685
72,8.0,8.0,-12381.5,-215.32142857142858,-12057.413793103447,-1803.0333333333333,-12219.456896551725,-1009.177380952381,-0.2788534225466944,-0.019751000703637948
73,7.0,7.0,-12342.192307692309,-197.36666666666667,-12033.413793103447,-1852.4333333333334,-12187.803050397877,-1024.9,-0.27813106774717317,-0.020058714159898232
74,6.0,6.0,-12122.541666666666,-254.6153846153846,-12021.379310344828,-1795.6333333333334,-12071.960488505747,-1025.124358974359,-0.2754874891385925,-0.020063105176129935
75,5.0,5.0,-12228.92,-190.41379310344828,-12051.0,-1793.2758620689656,-12139.96,-991.844827586207,-0.27703926813108,-0.019411778600375906
76,4.0,4.0,-12244.1,-159.03846153846155,-12026.833333333334,-1714.0333333333333,-12135.466666666667,-936.5358974358974,-0.27693672827278265,-0.018329306144160826
77,3.0,3.0,-12300.733333333334,-207.06896551724137,-12084.392857142857,-1859.6,-12192.563095238096,-1033.3344827586207,-0.2782396940802752,-0.020223788683014398
78,2.0,2.0,-12083.793103448275,-280.37931034482756,-12014.275862068966,-1596.5925925925926,-12049.03448275862,-938.48595146871,-0.2749643075256915,-0.01836747140559174
79,1.0,1.0,-12061.961538461539,-189.66666666666666,-12072.966666666667,-1293.8666666666666,-12067.464102564103,-741.7666666666667,-0.2753848796184204,-0.01451740222461428
80,0.0,0.0,-11929.459770114943,-172.7560975609756,-12048.421686746988,-1313.4772727272727,-11988.940728430965,-743.1166851441242,-0.2735929414159035,-0.014543823958197949
