frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,269.26666666666665,-82.5,1066.5666666666666,654.6666666666666,667.9166666666666,286.0833333333333,0.015242154381553468,0.0055990475258505396
2,0.5,0.5,7522.466666666666,-203.33333333333334,8987.733333333334,763.8333333333334,8255.1,280.25,0.18838504100086645,0.005484881103826206
3,0.74,0.74,17823.466666666667,-254.06896551724137,20023.933333333334,220.26666666666668,18923.7,-16.901149425287343,0.43184722176449664,-0.0003307789299400596
4,1.0,1.0,26909.51724137931,-128.25,29800.103448275862,573.0344827586207,28354.810344827587,222.39224137931035,0.6470693400906272,0.0043525245401567735
5,1.24,1.24,34665.40740740741,-139.10344827586206,38011.166666666664,302.23333333333335,36338.28703703704,81.56494252873564,0.829255816813058,0.001596339025907342
6,1.5,1.5,40934.53333333333,-134.92857142857142,44825.433333333334,661.7333333333333,42879.98333333334,263.40238095238095,0.9785402258442017,0.00515514983760409
7,1.74,1.74,47539.346153846156,-166.5,52345.36666666667,395.53846153846155,49942.35641025641,114.51923076923077,1.1397067097946771,0.002241300142268926
8,2.0,2.0,53546.0,-242.17857142857142,58378.724137931036,568.3793103448276,55962.36206896552,163.10036945812806,1.2770859072412692,0.003192100390608241
9,2.24,2.24,58746.1,-178.74074074074073,64060.0,870.5666666666667,61403.05,345.912962962963,1.401244817364811,0.006769996339425834
10,2.5,2.5,64794.13333333333,-194.26666666666668,70515.76666666666,640.0666666666667,67654.95,222.90000000000003,1.5439159464647998,0.0043624620804384
11,2.74,2.74,69639.9,-194.48275862068965,75919.36666666667,524.6666666666666,72779.63333333333,165.0919540229885,1.6608634916025276,0.0032310784621389275
12,3.0,3.0,75507.73333333334,-115.6,82291.5,412.9655172413793,78899.61666666667,148.68275862068964,1.8005242238982744,0.002909927754588309
13,3.24,3.24,81104.56666666667,-132.06896551724137,88262.73333333334,396.2,84683.65,132.06551724137933,1.9325184282871222,0.0025847052987842123
14,3.5,3.5,85460.25925925926,-70.55172413793103,93359.23333333334,369.35714285714283,89409.7462962963,149.4027093596059,2.0403700405694476,0.0029240181888561677
15,3.74,3.74,89106.13793103448,-132.9655172413793,96698.1724137931,300.35714285714283,92902.1551724138,83.69581280788177,2.120068359102134,0.0016380431120047317
16,4.0,4.0,91037.86666666667,-168.6,98971.4,515.4333333333333,95004.63333333333,173.41666666666663,2.168047842639372,0.003394004631894836
17,4.24,4.24,97238.2,-172.3448275862069,105551.5,723.6,101394.85,275.6275862068966,2.3138754193803472,0.005394414056304855
18,4.5,4.5,102700.4074074074,-147.8,111378.43333333333,443.62068965517244,107039.42037037037,147.91034482758621,2.4426870171386414,0.0028948105456030183
19,4.74,4.74,109375.03333333334,-48.275862068965516,118669.1,429.46666666666664,114022.06666666668,190.59540229885056,2.602034100617016,0.003730216308813985
20,5.0,5.0,114502.8275862069,-139.0,124103.5172413793,556.0,119303.1724137931,208.5,2.722551274570369,0.004080634112926901
21,4.76,4.76,104591.53333333334,-199.64285714285714,113314.13333333333,488.3666666666667,108952.83333333334,144.36190476190478,2.4863519490570156,0.002825362653134451
22,4.5,4.5,64651.76666666667,-175.78571428571428,71657.23076923077,538.2666666666667,68154.49871794872,181.2404761904762,1.5553158696289893,0.0035471274330262487
23,4.26,4.26,41961.36666666667,-274.85714285714283,45871.86666666667,497.82758620689657,43916.61666666667,111.48522167487687,1.0021966579895258,0.0021819203772360674
24,4.0,4.0,29035.689655172413,-257.9642857142857,31987.0,570.3448275862069,30511.344827586207,156.19027093596057,0.6962824128522249,0.003056860180760555
25,3.76,3.76,18149.85185185185,-206.6206896551724,20441.166666666668,712.6,19295.50925925926,252.9896551724138,0.4403320738619948,0.004951358355463622
26,3.5,3.5,10396.133333333333,-154.83333333333334,11936.166666666666,810.3333333333334,11166.15,327.75,0.25481649229831554,0.006414521968881495
27,3.26,3.26,3946.0333333333333,-152.93333333333334,5115.633333333333,635.7333333333333,4530.833333333333,241.4,0.1033956249189098,0.0047245327331441435
28,3.0,3.0,363.3666666666667,-183.53333333333333,1136.2666666666667,955.5333333333333,749.8166666666666,386.0,0.017111148683012077,0.007554555240238771
29,2.76,2.76,-667.7,-205.58620689655172,113.76923076923077,473.23333333333335,-276.96538461538466,133.8235632183908,-0.006320472839407152,0.002619112696318442
30,2.5,2.5,-645.3103448275862,-209.92857142857142,48.0,609.4137931034483,-298.6551724137931,199.7426108374384,-0.00681544341077555,0.003909239863733015
31,2.26,2.26,-694.4,69.13333333333334,132.80769230769232,278.73333333333335,-280.79615384615386,173.93333333333334,-0.006407892691208258,0.0034041165149884204
32,2.0,2.0,-552.2592592592592,-171.3,128.03571428571428,532.2,-212.11177248677248,180.45000000000002,-0.00484048466483593,0.003531656717878462
33,1.76,1.76,-570.4,-55.44444444444444,171.31034482758622,435.2758620689655,-199.54482758620688,189.91570881226053,-0.004553701412016621,0.0037169137647961744
34,1.5,1.5,-699.0333333333333,248.86666666666667,213.96666666666667,382.6,-242.5333333333333,315.73333333333335,-0.0055347181674451915,0.0061793391395113684
35,1.26,1.26,-567.0666666666667,-385.6666666666667,209.8,635.3,-178.63333333333335,124.81666666666663,-0.004076491844329135,0.0024428352415435295
36,1.0,1.0,-595.0666666666667,-484.3666666666667,239.67857142857142,608.7142857142857,-177.69404761904764,62.173809523809496,-0.0040550569279989585,0.0012168276646209902
37,0.76,0.76,-565.9333333333333,169.2,238.68965517241378,599.8333333333334,-163.62183908045975,384.51666666666665,-0.0037339228917650396,0.007525524350066868
38,0.5,0.5,-487.1,-295.3,286.55172413793105,397.3666666666667,-100.27413793103449,51.03333333333333,-0.0022883002732207326,0.0009987930978243142
39,0.26,0.26,-618.1379310344828,-124.71428571428571,246.0,480.1034482758621,-186.0689655172414,177.69458128078819,-0.004246176266544842,0.00347772935278967
40,0.0,0.0,-449.8,-218.53333333333333,214.2,387.9,-117.80000000000001,84.68333333333332,-0.0026882482138195865,0.0016573702580161135
41,1.0,1.0,-476.46666666666664,-334.89285714285717,252.3793103448276,412.25925925925924,-112.04367816091953,38.683201058201035,-0.002556886398012466,0.0007570838841021829
42,2.0,2.0,-386.67857142857144,-83.0,320.3,368.26666666666665,-33.18928571428572,142.63333333333333,-0.0007573942108605814,0.002791532113383566
43,3.0,3.0,4359.533333333334,-384.53333333333336,5633.6551724137935,289.3103448275862,4996.594252873563,-47.61149425287357,0.11402449554727136,-0.0009318229621856066
44,4.0,4.0,51545.7,-199.58620689655172,56471.666666666664,829.3846153846154,54008.683333333334,314.8992042440318,1.2325020925431323,0.00616301407660303
45,5.0,5.0,106568.58620689655,-206.72413793103448,115647.06896551725,568.3448275862069,111107.8275862069,180.8103448275862,2.5355298730899425,0.00353870916582026
46,6.0,6.0,153521.76666666666,-156.36666666666667,166257.4,901.1666666666666,159889.5833333333,372.4,3.6487511613259014,0.007288384382033467
