frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,242.03846153846155,-47.67857142857143,1936.551724137931,-583.8275862068965,1089.2950928381963,-315.753078817734,0.024858196839089318,-0.0061797255860208235
2,0.5,0.5,16176.233333333334,150.1851851851852,18697.633333333335,-760.7333333333333,17436.933333333334,-305.27407407407406,0.3979185474348433,-0.005974636932656308
3,0.74,0.74,25926.8,121.63333333333334,29145.066666666666,-326.96666666666664,27535.933333333334,-102.66666666666666,0.6283822037282558,-0.002009329027628274
4,1.0,1.0,32118.241379310344,-112.79310344827586,36043.275862068964,-190.79310344827587,34080.75862068965,-151.79310344827587,0.7777380177222871,-0.0029708015157701513
5,1.24,1.24,40296.76666666667,45.233333333333334,44646.7,-370.26666666666665,42471.73333333334,-162.51666666666665,0.9692237798909603,-0.0031806765175979384
6,1.5,1.5,47072.2,-62.7037037037037,52061.76666666667,-510.53333333333336,49566.98333333334,-286.61851851851856,1.1311405297984596,-0.0056095218420299155
7,1.74,1.74,52456.166666666664,368.93333333333334,57725.13333333333,-581.4666666666667,55090.649999999994,-106.26666666666668,1.2571930514487264,-0.002079786019506149
8,2.0,2.0,56576.1724137931,-356.44827586206895,62185.75862068965,-293.58620689655174,59380.96551724138,-325.01724137931035,1.3550999531969998,-0.006361038093342017
9,2.24,2.24,61952.692307692305,62.5,67772.96666666666,-679.6,64862.82948717948,-308.55,1.4801985187792412,-0.006038751345532831
10,2.5,2.5,68430.06666666667,449.3103448275862,74964.8275862069,-343.26666666666665,71697.44712643677,53.021839080459785,1.636167522691578,0.0010377109126227574
11,2.74,2.74,74251.32,-107.06896551724138,81134.8275862069,-857.24,77693.07379310345,-482.1544827586207,1.7729903807339868,-0.00943643179877915
12,3.0,3.0,78457.86666666667,107.9,85751.76666666666,-19.310344827586206,82104.81666666667,44.2948275862069,1.873668308575138,0.0008669111965203425
