frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,0.12869344461155532,-227.25,0.19017943262411346,62.733333333333334,0.1594364386178344,-82.25833333333333,0.1594364386178344,-0.001609909645431712
2,0.5,0.5,0.8292875722446583,-222.84615384615384,0.854938371239912,-78.65517241379311,0.8421129717422852,-150.75066312997347,0.8421129717422852,-0.002950399513259095
3,0.74,0.74,1.1686873854040136,-236.78571428571428,1.2026028368794326,-626.9,1.185645111141723,-431.84285714285716,1.185645111141723,-0.008451763521731229
4,1.0,1.0,1.436781952602252,-256.7241379310345,1.4719851063829787,166.06666666666666,1.4543835294926155,-45.32873563218391,1.4543835294926155,-0.0008871462106308623
5,1.24,1.24,1.675207032013069,-254.10344827586206,1.7111181217901688,-39.23076923076923,1.693162576901619,-146.66710875331566,1.693162576901619,-0.002870478691717696
6,1.5,1.5,1.8876219271089592,-265.3103448275862,1.9236482269503545,-413.2962962962963,1.9056350770296568,-339.3033205619413,1.9056350770296568,-0.006640636472491267
7,1.74,1.74,2.103070433917112,-187.6,2.139548936170213,-268.7,2.1213096850436624,-228.14999999999998,2.1213096850436624,-0.004465211860260299
8,2.0,2.0,2.3138164665686403,-211.8148148148148,2.3541099290780143,-278.93333333333334,2.3339631978233273,-245.3740740740741,2.3339631978233273,-0.004802310873355007
9,2.24,2.24,2.520580122031414,-208.57142857142858,2.5592179016874543,-471.6551724137931,2.5398990118594345,-340.11330049261085,2.5398990118594345,-0.006656488902879163
10,2.5,2.5,2.735187329962039,-198.13636363636363,2.7729212765957447,-206.8,2.754054303278892,-202.46818181818182,2.754054303278892,-0.003962583067192129
11,2.74,2.74,2.951116899515578,-193.07407407407408,2.98913206162876,84.06896551724138,2.970124480572169,-54.50255427841635,2.970124480572169,-0.0010666905622549437
12,3.0,3.0,3.1509669312008497,-218.13333333333333,3.191477304964539,-365.875,3.171222118082694,-292.00416666666666,3.171222118082694,-0.005714926444205239
13,3.24,3.24,3.3609971626160444,-185.7,3.402782269503546,-239.93103448275863,3.381889716059795,-212.81551724137933,3.381889716059795,-0.004165094769378204
14,3.5,3.5,3.525739311601243,-232.0344827586207,3.5783049645390075,-64.46153846153847,3.552022138070125,-148.24801061007958,3.552022138070125,-0.0029014191331848435
15,3.74,3.74,3.7344325483307617,-187.75862068965517,3.7749354365370507,-438.74074074074076,3.754683992433906,-313.249680715198,3.754683992433906,-0.0061307306138604165
16,4.0,4.0,3.9014453524027806,-99.36666666666666,3.946512056737589,-66.66666666666667,3.923978704570185,-83.01666666666667,3.923978704570185,-0.0016247512802948754
17,4.24,4.24,4.092731632421052,-198.71428571428572,4.136695035460993,96.96551724137932,4.1147133339410225,-50.8743842364532,4.1147133339410225,-0.000995682243594348
18,4.5,4.5,4.263496248513905,-205.93103448275863,4.309537588652482,-505.14814814814815,4.286516918583194,-355.5395913154534,4.286516918583194,-0.006958402804882149
19,4.74,4.74,4.431475118016471,-264.7142857142857,4.480483492296405,-154.51724137931035,4.455979305156438,-209.61576354679804,4.455979305156438,-0.004102471152692006
20,5.0,5.0,4.593268388341719,-194.96666666666667,4.642859574468085,150.9,4.618063981404902,-22.03333333333333,4.618063981404902,-0.0004312228854747692
21,4.76,4.76,3.9805151455079564,-131.66666666666666,4.021300709219858,-94.29629629629629,4.000907927363907,-112.98148148148147,4.000907927363907,-0.002211204256414159
