frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,0.07382728153279661,-224.17857142857142,0.11792296404988996,1372.1724137931035,0.09587512279134328,573.9969211822661,0.09587512279134328,0.0112339156704622
2,0.5,0.5,0.6717380031608707,-285.7142857142857,0.7196028368794327,969.8,0.6956704200201518,342.0428571428571,0.6956704200201518,0.006694253002110913
3,0.74,0.74,1.0133820982442259,-223.43333333333334,1.0619929078014183,64.0,1.037687503022822,-79.71666666666667,1.037687503022822,-0.001560165704406824
4,1.0,1.0,1.2711770717993518,-6.6,1.3310404255319148,679.7333333333333,1.3011087486656332,336.56666666666666,1.3011087486656332,0.0065870763610268454
5,1.24,1.24,1.5171282478572385,-233.20689655172413,1.5656316947909026,890.8,1.5413799713240706,328.7965517241379,1.5413799713240706,0.006435004437305761
6,1.5,1.5,1.7525195198366956,-346.8965517241379,1.803463829787234,267.57142857142856,1.7779916748119649,-39.662561576354676,1.7779916748119649,-0.0007762513274558112
7,1.74,1.74,1.9888173667119045,-110.34615384615384,2.0437787234042553,185.07407407407408,2.01629804505808,37.36396011396012,2.01629804505808,0.0007312645095206991
8,2.0,2.0,2.2304134938927516,-211.9655172413793,2.267150354609929,834.4666666666667,2.2487819242513405,311.2505747126437,2.2487819242513405,0.006091605337364589
9,2.24,2.24,2.4575823211843457,-291.4,2.511289801907557,345.8965517241379,2.484436061545951,27.248275862068965,2.484436061545951,0.0005332865419721884
10,2.5,2.5,2.692349047470039,-151.16666666666666,2.746425531914894,523.1666666666666,2.7193872896924667,186.0,2.7193872896924667,0.003640277913690185
11,2.74,2.74,2.922591345464012,-207.0,2.9805482269503547,462.18518518518516,2.951569786207183,127.59259259259258,2.951569786207183,0.002497163961103681
12,3.0,3.0,3.1246112865367923,-260.14814814814815,3.1804277329420394,841.2758620689655,3.152519509739416,290.56385696040866,3.152519509739416,0.005686737586073171
13,3.24,3.24,3.3277835288412834,-114.33333333333333,3.386068794326241,738.5925925925926,3.356926161583762,312.1296296296296,3.356926161583762,0.006108809661016334
14,3.5,3.5,3.531737436902774,-282.8333333333333,3.5854021276595742,782.3,3.5585697822811744,249.73333333333332,3.5585697822811744,0.004887627621750334
15,3.74,3.74,3.7326242249318513,-231.44444444444446,3.793971386647102,742.4137931034483,3.7632978057894766,255.4846743295019,3.7632978057894766,0.005000189340043094
16,4.0,4.0,3.9250150668637884,-225.96666666666667,3.984001418439717,693.0,3.9545082426517526,233.51666666666665,3.9545082426517526,0.004570244968522686
17,4.24,4.24,4.096600851687803,-127.48275862068965,4.156728368794326,665.1851851851852,4.126664610241065,268.8512132822478,4.126664610241065,0.005261791041828902
