frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.24,0.24,0.2576184623876207,-67.25,0.28090921985815603,-1043.4074074074074,0.26926384112288837,-555.3287037037037,0.26926384112288837,-0.010868552768445125
2,0.5,0.5,1.176230137211158,-120.74074074074075,1.219513475177305,-1588.4,1.1978718061942315,-854.5703703703704,1.1978718061942315,-0.01672512712340484
3,0.74,0.74,1.7062609337933987,-114.82758620689656,1.7423198826118855,-1284.7931034482758,1.7242904082026422,-699.8103448275862,1.7242904082026422,-0.01369625882821384
4,1.0,1.0,2.0382907178494487,37.766666666666666,2.066649645390071,-1147.7333333333333,2.0524701816197597,-554.9833333333333,2.0524701816197597,-0.010861793391395114
5,1.24,1.24,2.343790358084585,-24.82758620689655,2.3785517730496455,-1220.2666666666667,2.361171065567115,-622.5471264367816,2.361171065567115,-0.01218411050859735
6,1.5,1.5,2.619982825142968,-34.275862068965516,2.660687454145268,-1353.103448275862,2.640335139644118,-693.6896551724138,2.640335139644118,-0.013576468444513433
7,1.74,1.74,2.9134403477242694,-89.1,2.9517262411347516,-1214.1538461538462,2.9325832944295103,-651.626923076923,2.9325832944295103,-0.012753242451843097
8,2.0,2.0,3.200437088059237,-70.88461538461539,3.2422730496453904,-1756.037037037037,3.221355068852314,-913.4608262108262,3.221355068852314,-0.017877695003636878
9,2.24,2.24,3.4865450901667345,-40.758620689655174,3.5268870139398385,-1186.7857142857142,3.5067160520532865,-613.7721674876847,3.5067160520532865,-0.012012372394318127
10,2.5,2.5,3.7401824081941433,-106.75862068965517,3.7841815602836877,-1452.6206896551723,3.7621819842389153,-779.6896551724137,3.7621819842389153,-0.015259607694929322
11,2.74,2.74,4.013574570793274,6.655172413793103,4.062643971631205,-1412.4,4.03810927121224,-702.8724137931035,4.03810927121224,-0.013756187763834103
12,3.0,3.0,4.264132807728364,-25.071428571428573,4.312027879677183,-1385.7241379310344,4.288080343702774,-705.3977832512315,4.288080343702774,-0.013805612745889647
13,3.24,3.24,4.523482712228526,-125.96428571428571,4.566914893617021,-1250.5,4.545198802922774,-688.2321428571429,4.545198802922774,-0.013469657360938308
14,3.5,3.5,4.734602122439856,-79.92592592592592,4.799482978723405,-1062.6206896551723,4.76704255058163,-571.2733077905491,4.76704255058163,-0.01118061077973479
15,3.74,3.74,4.9665232302508855,-113.42857142857143,5.014710931768159,-1547.6896551724137,4.990617081009522,-830.5591133004925,4.990617081009522,-0.01625519352775208
