frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correlation_force_0_2,correlation_force_1_3
1,0.3,0.3,13718.633333333333,11193.5,32756.266666666666,7309.166666666667,23237.45,9251.333333333334,0.5163877777777778,0.17455345911949688
2,0.6,0.6,129640.20833333333,28647.379310344826,199611.41379310345,17926.896551724138,164625.8110632184,23287.137931034482,3.658351356960409,0.43937996096291476
3,0.9,0.9,211966.9642857143,31282.068965517243,273150.8965517241,21411.48275862069,242558.9304187192,26346.775862068964,5.390198453749315,0.49710897852960306
4,1.2,1.2,217446.63333333333,33592.7,276518.8333333333,23921.0,246982.73333333334,28756.85,5.488505185185185,0.5425820754716981
5,1.5,1.5,221803.58620689655,36075.96551724138,279751.9285714286,27347.88888888889,250777.75738916255,31711.927203065134,5.572839053092501,0.5983382491144364
6,1.8,1.8,224530.23333333334,38824.8275862069,282942.3,29746.166666666668,253736.26666666666,34285.497126436785,5.638583703703704,0.6468961721969205
7,2.1,2.1,227886.62068965516,41585.44827586207,285712.1785714286,32623.758620689656,256799.39963054186,37104.60344827586,5.706653325123153,0.700086857514639
8,2.4,2.4,230609.46666666667,44602.6,288589.26666666666,34698.96666666667,259599.36666666667,39650.78333333333,5.768874814814815,0.7481279874213836
9,2.7,2.7,233254.44827586206,47645.8275862069,292442.275862069,38414.34482758621,262848.3620689655,43030.08620689655,5.841074712643678,0.8118884189980481
10,3.0,3.0,236278.4827586207,50602.71428571428,295980.4827586207,43030.793103448275,266129.4827586207,46816.753694581275,5.913988505747127,0.883334975369458
11,2.7,2.7,239334.36666666667,55060.46666666667,298601.36666666664,46019.74074074074,268967.86666666664,50540.1037037037,5.977063703703703,0.9535868623340321
12,2.4,2.4,243153.08,58606.769230769234,302735.9655172414,50793.379310344826,272944.5227586207,54700.07427055703,6.06543383908046,1.032076873029378
13,2.1,2.1,248948.03333333333,62384.53333333333,308208.2,55280.76666666667,278578.1166666667,58832.65,6.190624814814815,1.11005
14,1.8,1.8,253245.6551724138,64984.24137931035,309817.3793103448,53930.275862068964,281531.5172413793,59457.25862068965,6.2562559386973176,1.121835068314899
15,1.5,1.5,253775.9655172414,69777.3448275862,313032.5862068966,59939.48275862069,283404.275862069,64858.41379310345,6.2978727969348665,1.22374365647365
16,1.2,1.2,253664.43333333332,70471.92592592593,315680.4827586207,62685.8,284672.458045977,66578.86296296297,6.326054623243933,1.256204961565339
17,0.9,0.9,257256.3103448276,71575.64285714286,317061.7586206897,63281.206896551725,287159.0344827586,67428.42487684729,6.381311877394635,1.272234431638628
18,0.6,0.6,262513.5,73340.0,322116.7586206897,70436.9,292315.1293103448,71888.45,6.495891762452107,1.3563858490566036
19,0.3,0.3,264192.75,79147.6551724138,325422.5862068966,68493.55172413793,294807.6681034483,73820.60344827586,6.551281513409962,1.392841574495771
20,0.0,0.0,266527.3333333333,80363.16666666667,323936.2,74974.6,295231.76666666666,77668.88333333333,6.560705925925926,1.4654506289308176
