frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
360,0.0,0.0,-7619.033333333334,-21199.51724137931,-5069.633333333333,-21745.266666666666,-6344.333333333334,-21472.39195402299,-0.14478049873692186,-0.4202444848619824
361,0.08,0.08,-6645.862068965517,-16793.964285714286,-4098.586206896552,-17587.896551724138,-5372.224137931034,-17190.93041871921,-0.12259653601894371,-0.336450345801335
362,0.14,0.14,-3635.266666666667,-3656.4333333333334,-1210.5333333333333,-5430.533333333334,-2422.9,-4543.483333333334,-0.05529165192923154,-0.08892226897609029
363,0.2,0.2,-2493.310344827586,2534.9333333333334,337.6666666666667,741.0333333333333,-1077.8218390804598,1637.9833333333333,-0.024596372102918398,0.032057605114655705
364,0.28,0.28,-1349.8620689655172,6315.724137931034,1578.5,4588.103448275862,114.3189655172414,5451.913793103448,0.0026088094639849495,0.10670151273321163
365,0.34,0.34,-616.6666666666666,9097.3,2184.1,7035.433333333333,783.7166666666667,8066.366666666667,0.01788476170889055,0.15786998075480316
366,0.4,0.4,-287.6333333333333,10487.166666666666,2579.896551724138,8378.466666666667,1146.1316091954025,9432.816666666666,0.02615523133464948,0.1846133020191147
367,0.48,0.48,327.62068965517244,11597.0,2933.310344827586,9516.066666666668,1630.4655172413793,10556.533333333333,0.03720794579302687,0.20660599536810514
368,0.54,0.54,556.3076923076923,12797.931034482759,3244.25,10852.241379310344,1900.2788461538462,11825.08620689655,0.04336520555120731,0.23143333412068795
369,0.6,0.6,856.0344827586207,13958.266666666666,3524.5333333333333,11786.033333333333,2190.283908045977,12872.15,0.04998324960579271,0.2519258244446619
370,0.68,0.68,1073.1724137931035,15677.275862068966,3903.366666666667,13016.857142857143,2488.269540229885,14347.066502463054,0.056783413811754425,0.28079198556537927
371,0.74,0.74,1216.392857142857,18355.103448275862,4259.2,15578.931034482759,2737.7964285714284,16967.01724137931,0.062477728004319055,0.3320680544354499
372,0.8,0.8,1678.8214285714287,21292.206896551725,4411.966666666666,18815.933333333334,3045.3940476190473,20054.07011494253,0.06949724201093976,0.3924859597796757
373,0.88,0.88,1959.4333333333334,26293.566666666666,4861.862068965517,24091.758620689656,3410.6477011494253,25192.66264367816,0.07783249227998999,0.4930553409076849
374,0.94,0.94,2785.4137931034484,33878.51724137931,5375.785714285715,31359.03448275862,4080.5997536945815,32618.775862068964,0.09312109506945758,0.6383946738833343
375,1.0,1.0,3444.3793103448274,41761.8,5860.533333333334,39005.86666666667,4652.45632183908,40383.833333333336,0.10617111542493675,0.7903676158789184
