frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.06,0.06,-1844.1333333333334,-981.3448275862069,376.56666666666666,-1365.9,-733.7833333333334,-1173.6224137931035,-0.01674526090971066,-0.022376023141908553
2,0.12,0.12,-1120.9655172413793,-646.3793103448276,813.7241379310345,-1061.8,-153.62068965517238,-854.0896551724138,-0.003505692228957981,-0.016283882844087966
3,0.18,0.18,-756.7857142857143,-297.25,1343.4827586206898,-901.6896551724138,293.3485221674877,-599.469827586207,0.006694343300028558,-0.011429358009269914
4,0.26,0.26,-258.39285714285717,177.25806451612902,2064.4,-191.58064516129033,903.0035714285715,-7.161290322580655,0.020606941748434332,-0.00013653556382422602
5,0.32,0.32,872.5,780.8214285714286,3038.655172413793,325.3666666666667,1955.5775862068965,553.0940476190476,0.04462714730990074,0.01054516773344228
6,0.38,0.38,1615.4,1441.0344827586207,3906.4814814814813,930.9310344827586,2760.9407407407407,1185.9827586206898,0.06300589146653668,0.022611682719174256
7,0.46,0.46,2830.964285714286,2291.2413793103447,5056.724137931034,1627.1724137931035,3943.8442118226603,1959.2068965517242,0.09000027298824262,0.037353801650175864
8,0.52,0.52,4099.266666666666,3481.137931034483,6693.233333333334,2567.8076923076924,5396.25,3024.4728116710876,0.12314481684061071,0.05766392395941063
9,0.58,0.58,5550.466666666666,4619.966666666666,8213.466666666667,4401.3,6881.966666666667,4510.633333333333,0.15704952970486077,0.08599872894820464
10,0.66,0.66,7489.413793103448,6101.6551724137935,10058.655172413793,5711.5,8774.034482758621,5906.577586206897,0.20022735591058846,0.11261349068077973
11,0.72,0.72,9788.133333333333,8214.0,12609.6,7785.4,11198.866666666667,7999.7,0.2555631011330252,0.15252049571020018
12,0.78,0.78,12128.275862068966,10136.206896551725,14909.689655172413,9861.357142857143,13518.982758620688,9998.782019704435,0.3085091787225793,0.19063454756347825
