frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.06,0.06,-1823.9666666666667,4270.466666666666,463.76666666666665,3036.8333333333335,-680.1,3653.6499999999996,-0.015520183448376067,0.0715069967707212
2,0.12,0.12,705.5,18345.0,2511.4333333333334,17173.2,1608.4666666666667,17759.1,0.03670592227211384,0.34757021234954494
3,0.18,0.18,1927.103448275862,30603.241379310344,3353.4137931034484,29298.03448275862,2640.2586206896553,29950.637931034482,0.06025187199567683,0.5861755148455716
4,0.26,0.26,3838.8846153846152,45939.066666666666,5155.366666666667,43722.96666666667,4497.125641025641,44831.01666666666,0.1026264004398085,0.8774051603222754
5,0.32,0.32,5822.758620689655,63669.107142857145,6758.7037037037035,61176.75862068965,6290.731162196679,62422.9328817734,0.14355727343288993,1.221703354178949
6,0.38,0.38,7026.7,79289.41379310345,7967.653846153846,75972.66666666667,7497.176923076922,77631.04022988505,0.1710889004427076,1.519347103041101
7,0.46,0.46,9421.2,99576.3,10105.666666666666,95757.13333333333,9763.433333333334,97666.71666666667,0.2228058762230895,1.9114730730338914
8,0.52,0.52,11960.272727272728,122877.2,12528.034482758621,117648.41379310345,12244.153605015676,120262.80689655172,0.27941701238044175,2.3537098913113166
9,0.58,0.58,14142.0,140428.55172413794,14487.633333333333,134718.86666666667,14314.816666666666,137573.7091954023,0.326670461250607,2.69250825316376
10,0.66,0.66,17087.137931034482,160029.0344827586,16922.206896551725,154090.5172413793,17004.6724137931,157059.77586206896,0.3880541616550636,3.073877597848497
11,0.72,0.72,20331.266666666666,183465.2,20030.36,176709.4,20180.81333333333,180087.3,0.4605351052356521,3.5245581759467655
12,0.78,0.78,22885.85714285714,199380.3103448276,22191.035714285714,192350.93103448275,22538.446428571428,195865.6206896552,0.5143373374692324,3.8333617905794144
13,0.86,0.86,26758.931034482757,223149.89655172414,25619.52,215557.75862068965,26189.22551724138,219353.8275862069,0.5976497344485778,4.293058569061687
14,0.92,0.92,30724.344827586207,248586.33333333334,29604.137931034482,239669.86666666667,30164.241379310344,244128.1,0.6883613583120024,4.77792543301693
15,0.98,0.98,33306.65517241379,262375.4482758621,32006.206896551725,255901.2068965517,32656.431034482757,259138.3275862069,0.745234230884302,5.071696400552048
16,1.06,1.06,37123.75862068965,287268.6206896552,35584.137931034486,277033.2,36353.94827586207,282150.9103448276,0.8296132132247525,5.522084555139007
17,1.12,1.12,40893.42857142857,308618.7931034483,38793.10344827586,298294.5172413793,39843.26600985222,303456.6551724138,0.9092409905239716,5.9390675246582605
18,1.18,1.18,43405.954545454544,323862.6551724138,41209.96551724138,312970.0,42307.96003134796,318416.3275862069,0.9654864005485705,6.231849057367784
19,1.26,1.26,47580.46666666667,347683.3,45137.44827586207,336423.93333333335,46358.957471264366,342053.6166666667,1.0579319576966435,6.694463580911375
20,1.32,1.32,52321.04,373671.6896551724,49409.137931034486,361472.2413793103,50865.08896551724,367571.9655172414,1.1607638756988632,7.193893052495183
21,1.38,1.38,55461.5,391108.0,52756.153846153844,377677.7,54108.82692307692,384392.85,1.2347874136488513,7.523101086211958
22,1.46,1.46,60661.269230769234,416541.1034482759,57260.89655172414,402861.6206896552,58961.08289124668,409701.36206896557,1.3455180455624995,8.018423761013123
23,1.52,1.52,66426.26666666666,444580.51851851854,62835.31034482759,430991.2068965517,64630.78850574713,437785.86270753515,1.4749032407328198,8.568076381398084
24,1.58,1.58,69524.93103448275,461969.8965517241,65795.03448275862,446604.6551724138,67659.9827586207,454287.275862069,1.5440307962472504,8.891031918232096
25,1.66,1.66,75264.61538461539,491606.275862069,71947.33333333333,475330.4,73605.97435897436,483468.3379310345,1.6797209600760874,9.46214576633789
26,1.72,1.72,83092.72413793103,526264.7931034482,79197.31034482758,509642.8275862069,81145.0172413793,517953.8103448276,1.8517652602673806,10.137074280161025
27,1.78,1.78,87044.73333333334,544010.2142857143,83012.5,526116.2666666667,85028.61666666667,535063.2404761906,1.9403907205239133,10.471929552327833
28,1.86,1.86,92982.72413793103,569406.3793103448,89347.36,552158.5769230769,91165.04206896551,560782.4781167109,2.080426668121256,10.97529069608985
29,1.92,1.92,102852.0,608038.6206896552,97954.93103448275,588443.5862068966,100403.46551724138,598241.103448276,2.291251586061295,11.708407935184969
30,1.98,1.98,107170.53333333334,629363.9666666667,102948.61538461539,608442.1,105059.57435897437,618903.0333333333,2.3975060536091584,12.112790553544052
31,1.92,1.92,103812.03448275862,611531.4444444445,101861.28,592584.8620689656,102836.65724137932,602058.153256705,2.346778099697071,11.783112892782171
32,1.86,1.86,76700.27586206897,479322.4482758621,73238.8275862069,463550.1724137931,74969.55172413794,471436.3103448276,1.71083839994286,9.226662302472405
33,1.8,1.8,56604.96666666667,360266.8333333333,53744.933333333334,353941.63333333336,55174.95,357104.23333333334,1.259116814813964,6.989025018755912
34,1.72,1.72,40229.31034482759,269954.2068965517,38441.75862068965,261697.06896551725,39335.53448275862,265825.6379310345,0.8976543320281376,5.20257633684381
35,1.66,1.66,27193.833333333332,198930.23333333334,25919.966666666667,191458.2,26556.9,195194.21666666667,0.606040229113628,3.8202214828587273
36,1.6,1.6,19359.41379310345,157734.9655172414,19252.24,151465.93103448275,19305.826896551727,154600.4482758621,0.44056752691821144,3.025745146802272
37,1.52,1.52,13229.566666666668,124883.23333333334,13211.166666666666,119207.26666666666,13220.366666666667,122045.25,0.30169462714521783,2.388594774439769
38,1.46,1.46,8440.862068965518,96843.68965517242,8923.827586206897,92743.10344827586,8682.344827586207,94793.39655172414,0.1981349573389163,1.8552382141447137
39,1.4,1.4,5679.3,80615.36666666667,6692.9,77035.2,6186.1,78825.28333333333,0.1411695439347143,1.542720096552174
40,1.32,1.32,3762.2,64934.51724137931,4620.733333333334,61587.96666666667,4191.466666666667,63261.24195402299,0.09565112716426998,1.2381102251496818
41,1.26,1.26,1744.5833333333333,50880.57142857143,3191.551724137931,48154.68965517241,2468.067528735632,49517.63054187192,0.05632239495509069,0.9691286924722952
42,1.2,1.2,611.0344827586207,41369.0,2232.7586206896553,39005.066666666666,1421.8965517241381,40187.03333333333,0.03244830955355385,0.7865159669895946
43,1.12,1.12,-768.1034482758621,29811.793103448275,1002.6551724137931,27968.689655172413,117.27586206896552,28890.241379310344,0.0026762871539138264,0.5654220839477512
44,1.06,1.06,-1863.5,20702.103448275862,216.48275862068965,18512.703703703704,-823.5086206896551,19607.40357598978,-0.0187928317371307,0.38374407624992235
45,1.0,1.0,-2208.233333333333,15235.6,-208.24137931034483,13583.133333333333,-1208.237356321839,14409.366666666667,-0.027572512011903926,0.28201128616629156
46,0.92,0.92,-3045.0344827586205,9547.8,-613.9310344827586,8125.133333333333,-1829.4827586206895,8836.466666666667,-0.04174960745395414,0.17294190560067849
47,0.86,0.86,-3226.259259259259,5692.517241379311,-975.3666666666667,4285.0,-2100.812962962963,4988.758620689656,-0.04794148298178453,0.09763692378294658
48,0.8,0.8,-3596.6206896551726,4581.6551724137935,-918.5714285714286,3308.2413793103447,-2257.5960591133007,3944.948275862069,-0.0515193427286712,0.07720810795306916
49,0.72,0.72,-3775.9,2140.1666666666665,-1155.3333333333333,812.7241379310345,-2465.616666666667,1476.4454022988505,-0.05626646519635373,0.02889608381052648
