frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.06,0.06,-3660.766666666667,-2828.5172413793102,1095.4074074074074,-872.2,-1282.6796296296297,-1850.3586206896553,-0.029271317684674197,-0.03527852470332994
2,0.12,0.12,28228.03448275862,-435.6551724137931,35797.44827586207,2335.7241379310344,32012.741379310348,950.0344827586207,0.7305449476434583,0.018113145524473226
3,0.18,0.18,56507.9,1403.5666666666666,66523.5,5162.133333333333,61515.7,3282.85,1.403815540295938,0.06259008579599619
4,0.26,0.26,82918.0,3493.3333333333335,96139.92307692308,7666.2,89528.96153846153,5579.766666666666,2.0430905852367713,0.10638258659040356
5,0.32,0.32,107152.41379310345,5460.2307692307695,121311.79310344828,10626.827586206897,114232.10344827586,8043.529177718833,2.6068272330703035,0.15335613303563075
6,0.38,0.38,120327.21428571429,7151.931034482759,135768.44827586206,12345.576923076924,128047.83128078817,9748.753978779841,2.922108265908748,0.18586756870886256
7,0.46,0.46,139234.0,9184.766666666666,155887.3,15497.166666666666,147560.65,12340.966666666667,3.3673994379673777,0.23529011757229107
8,0.52,0.52,157932.37931034484,11493.25,175908.7931034483,18092.0,166920.58620689658,14792.625,3.8092017633311372,0.28203288846520497
9,0.58,0.58,169456.76666666666,13154.1,188085.3,20427.7,178771.03333333333,16790.9,4.079634219363455,0.3201315538608199
10,0.66,0.66,185628.6896551724,15544.888888888889,205234.27586206896,23261.137931034482,195431.4827586207,19403.013409961684,4.459833059846989,0.3699335254520817
11,0.72,0.72,201739.16666666666,18247.964285714286,223072.6,26541.793103448275,212405.88333333333,22394.878694581283,4.847196404716509,0.4269757615744763
12,0.78,0.78,211398.0,19999.0,232874.07142857142,28712.241379310344,222136.0357142857,24355.620689655174,5.069242794854774,0.464358831070642
13,0.86,0.86,226022.26666666666,22826.0,248717.96666666667,31825.233333333334,237370.11666666667,27325.61666666667,5.416891274561235,0.520984111852558
14,0.92,0.92,242451.24137931035,26011.862068965518,266098.8620689655,35064.55172413793,254275.0517241379,30538.206896551725,5.802669385537323,0.5822346405443608
15,0.98,0.98,250421.62068965516,28109.758620689656,274434.0344827586,37897.06896551724,262427.8275862069,33003.41379310345,5.9887193443563245,0.6292357253213241
16,1.06,1.06,263277.86666666664,31262.066666666666,288521.77777777775,40660.86666666667,275899.8222222222,35961.46666666667,6.296156233293975,0.6856333015570385
17,1.12,1.12,277319.9310344828,34935.93103448276,302859.3793103448,44989.58620689655,290089.6551724138,39962.75862068965,6.619974510736681,0.7619210413858847
18,1.18,1.18,284600.73333333334,37567.65517241379,310912.9666666667,47109.6,297756.85,42338.627586206894,6.794943295119239,0.8072188290983202
19,1.26,1.26,299431.275862069,41620.379310344826,326700.4827586207,51543.793103448275,313065.8793103448,46582.08620689655,7.14430212957464,0.8881236645738141
20,1.32,1.32,315109.0,46022.96666666667,343666.0,56700.23333333333,329387.5,51361.6,7.516768748128174,0.9792488083889418
21,1.38,1.38,321730.6551724138,49025.78571428572,351351.36,58766.275862068964,336541.0075862069,53896.03078817734,7.680014961975081,1.027569700441894
22,1.46,1.46,336092.625,53701.86666666667,365643.5,64266.34375,350868.0625,58984.105208333334,8.00696470544961,1.124577792341913
23,1.52,1.52,351402.22580645164,59465.58620689655,382898.96428571426,69767.17857142857,367150.595046083,64616.38238916256,8.378539315241348,1.231961532681841
24,1.58,1.58,356719.6896551724,62715.724137931036,387848.2068965517,73801.07407407407,372283.948275862,68258.39910600256,8.495684711258823,1.3013994109819362
25,1.66,1.66,370063.0,68166.39285714286,402245.1724137931,79203.93103448275,386154.0862068966,73685.16194581281,8.812207406662345,1.4048648607399965
26,1.72,1.72,384880.0,74183.66666666667,418034.73333333334,85638.43333333333,401457.3666666667,79911.05,9.161435049799502,1.5235662535748333
27,1.78,1.78,389442.2068965517,77801.4827586207,422709.8965517241,89058.6551724138,406076.0517241379,83430.06896551725,9.266835490002748,1.5906590841852668
28,1.86,1.86,403635.8461538461,83987.6551724138,437897.9655172414,96518.93103448275,420766.90583554376,90253.29310344828,9.602087292417611,1.7207491535452484
29,1.92,1.92,419068.0333333333,91158.16666666667,454517.43333333335,103400.86666666667,436792.73333333334,97279.51666666666,9.967803779225028,1.85470956466476
30,1.98,1.98,423171.4137931034,95334.93103448275,458912.8,107827.20689655172,441042.1068965517,101581.06896551725,10.064776367435332,1.9367220012491373
31,1.92,1.92,410543.2413793103,93281.5172413793,445053.6206896552,105169.96551724138,427798.4310344828,99225.74137931035,9.762549814119438,1.8918158508924756
32,1.86,1.86,332925.6296296296,69236.33333333333,360406.63333333336,79185.0,346666.1314814815,74210.66666666666,7.911074777137848,1.4148840165236731
33,1.8,1.8,268795.8620689655,51029.96551724138,292884.2413793103,59580.24137931035,280840.0517241379,55305.10344827586,6.408894460241205,1.0544347654580717
34,1.72,1.72,216753.5,37343.51724137931,238395.53846153847,45174.73333333333,227574.51923076925,41259.12528735632,5.193351399261176,0.7866372790725704
35,1.66,1.66,167653.10344827586,25179.384615384617,184579.9655172414,32757.137931034482,176116.5344827586,28968.26127320955,4.0190573790099435,0.5523024074968456
36,1.6,1.6,137276.6,19150.333333333332,152295.83333333334,25396.433333333334,144786.21666666667,22273.38333333333,3.304085639557405,0.4246593581188433
37,1.52,1.52,108166.31034482758,13554.241379310344,119376.69230769231,19119.137931034482,113771.50132625995,16336.689655172413,2.596316088488039,0.3114716807468525
38,1.46,1.46,79748.06666666667,8496.866666666667,90454.33333333333,13030.733333333334,85101.2,10763.8,1.9420471043625074,0.2052202097235462
39,1.4,1.4,60634.5,5512.172413793103,70040.3,9509.366666666667,65337.4,7510.769540229885,1.4910284282310342,0.1431986566297404
40,1.32,1.32,41534.206896551725,2772.137931034483,49418.44827586207,6113.9655172413795,45476.3275862069,4443.051724137931,1.0377899525016558,0.08471023306268696
41,1.26,1.26,22220.566666666666,460.3333333333333,28902.466666666667,3231.8928571428573,25561.516666666666,1846.1130952380954,0.5833251402520055,0.03519758046211812
42,1.2,1.2,10347.896551724138,-928.3333333333334,16084.2,1243.0,13216.04827586207,157.33333333333331,0.30159607955296797,0.0029996822370511596
43,1.12,1.12,-2097.655172413793,-2142.037037037037,2806.137931034483,-460.2758620689655,354.2413793103449,-1301.1564495530013,0.008083945290254848,-0.024807558618741683
44,1.06,1.06,-15249.033333333333,-3252.464285714286,-11260.4,-1278.3,-13254.716666666667,-2265.3821428571428,-0.3024785093705549,-0.04319127059784829
45,1.0,1.0,-22889.1,-3810.8,-19628.266666666666,-1825.1333333333334,-21258.683333333334,-2817.9666666666667,-0.4851325763921014,-0.05372672386399746
46,0.92,0.92,-31649.58620689655,-4358.428571428572,-28806.241379310344,-2991.6206896551726,-30227.91379310345,-3675.0246305418723,-0.6898143910170015,-0.07006719981967345
47,0.86,0.86,-40390.13333333333,-4863.068965517241,-38334.26666666667,-4067.633333333333,-39362.2,-4465.351149425287,-0.898262850950843,-0.08513538893089204
48,0.8,0.8,-44953.26666666667,-5142.866666666667,-43080.03333333333,-3990.8333333333335,-44016.65,-4566.85,-1.0044794629950924,-0.08707054337464253
49,0.72,0.72,-50384.17857142857,-5353.724137931034,-49236.16,-4517.0344827586205,-49810.16928571429,-4935.379310344828,-1.1366901410218393,-0.09409684099799481
50,0.66,0.66,-54543.1724137931,-5511.241379310345,-53438.433333333334,-4894.933333333333,-53990.80287356322,-5203.087356321839,-1.2320940525258208,-0.09920090288506843
