frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.06,0.06,-1000.5,-115.0,579.4666666666667,-68.13333333333334,-210.51666666666665,-91.56666666666666,-0.004804083643004413,-0.0017457896409278678
2,0.12,0.12,764.4827586206897,782.2068965517242,2349.4827586206898,1236.7931034482758,1556.9827586206898,1009.5,0.035531036670712744,0.019246901811248808
3,0.18,0.18,2885.3,1880.0,4660.0,2081.366666666667,3772.65,1980.6833333333334,0.08609354519411258,0.037763266603114076
4,0.26,0.26,5805.033333333334,3366.8,7816.3,3261.5666666666666,6810.666666666667,3314.1833333333334,0.15542243210175943,0.0631874801398157
5,0.32,0.32,9980.8,5260.241379310345,12314.566666666668,5658.333333333333,11147.683333333334,5459.287356321839,0.2543950747797938,0.10408555493463945
6,0.38,0.38,13617.379310344828,7166.448275862069,16515.03448275862,7630.444444444444,15066.206896551725,7398.446360153257,0.34381751934373095,0.14105712793428518
7,0.46,0.46,19116.033333333333,9522.833333333334,22081.433333333334,9950.6,20598.733333333334,9736.716666666667,0.4700722248750365,0.18563806800127106
8,0.52,0.52,25961.379310344826,12729.896551724138,29596.51724137931,13130.068965517241,27778.94827586207,12929.982758620688,0.6339279124310092,0.24652016698990825
9,0.58,0.58,32464.966666666667,15737.533333333333,36683.5,16363.566666666668,34574.23333333334,16050.55,0.7889993293931659,0.30601620591039086
10,0.66,0.66,41411.24137931035,19732.035714285714,46216.03448275862,20554.48275862069,43813.637931034486,20143.259236453203,0.9998466375979757,0.3840468872536359
11,0.72,0.72,52784.8,25282.1,58733.8,26798.466666666667,55759.3,26040.283333333333,1.2724519408219903,0.49647823323800444
12,0.78,0.78,63190.31034482759,30119.178571428572,69446.3448275862,31250.0,66318.3275862069,30684.589285714286,1.5134136305358479,0.5850255345226747
13,0.86,0.86,76395.36666666667,36766.93103448276,83707.5,38319.48275862069,80051.43333333333,37543.206896551725,1.82680919076427,0.7157904079418823
14,0.92,0.92,92957.58620689655,44992.793103448275,101435.10344827586,46515.620689655174,97196.3448275862,45754.206896551725,2.2180636703951713,0.872339502317478
15,0.98,0.98,106864.4,52371.666666666664,116309.06666666667,53352.3,111586.73333333334,52861.98333333334,2.5464587145101514,1.00785478233238
16,1.06,1.06,124648.0,62292.357142857145,135725.5172413793,63450.275862068964,130186.75862068965,62871.31650246306,2.970919535866134,1.1986904957571602
17,1.12,1.12,145304.89655172414,74250.0,157834.0,74730.75862068965,151569.4482758621,74490.37931034483,3.458881991487321,1.4202169553926565
18,1.18,1.18,161718.03333333333,85107.03448275862,175740.33333333334,85061.03571428571,168729.18333333335,85084.03509852217,3.850474751401281,1.6221932335275915
19,1.26,1.26,184391.86666666667,99022.23333333334,199781.43333333332,99126.03333333334,192086.65,99074.13333333333,4.383502493727402,1.8889253257070224
20,1.32,1.32,209376.62068965516,116012.57692307692,226724.58620689655,115867.68965517242,218050.60344827586,115940.13328912467,4.976011419712313,2.2104887185724436
21,1.38,1.38,228096.44827586206,130021.0,246795.37931034484,129280.24137931035,237445.91379310345,129650.62068965517,5.418620998582935,2.471889812958154
22,1.46,1.46,252376.75862068965,147516.41379310345,272555.4137931034,147011.3448275862,262466.0862068965,147263.8793103448,5.9895924230382604,2.807700272837842
23,1.52,1.52,281223.51851851854,168841.33333333334,302750.9285714286,167931.06666666668,291987.22354497353,168386.2,6.663277862079077,3.21041372735939
24,1.58,1.58,299614.7586206897,186698.75862068965,323129.5862068966,184421.1724137931,311372.17241379316,185559.9655172414,7.105650987474564,3.5378449097662803
25,1.66,1.66,322635.68,205939.24137931035,349712.6896551724,204379.93103448275,336174.18482758617,205159.58620689655,7.6716439040323765,3.9115269057558923
26,1.72,1.72,352043.2,230136.76666666666,379523.36666666664,227884.4,365783.2833333333,229010.5833333333,8.347336655907444,4.366264696536383
27,1.78,1.78,370742.0344827586,248372.24137931035,399460.6206896552,245648.9655172414,385101.3275862069,247010.60344827588,8.788182988312156,4.70944906479077
28,1.86,1.86,397232.6153846154,270272.71428571426,426734.72,268044.07692307694,411983.6676923077,269158.3956043956,9.401649904895484,5.131713929540431
29,1.92,1.92,423348.9,296249.3103448276,455884.76666666666,291835.73333333334,439616.8333333334,294042.5218390805,10.03225099298265,5.606149129439094
30,1.98,1.98,438868.9310344828,314804.7586206897,472222.68,309494.6206896552,455545.80551724136,312149.6896551724,10.395757198597018,5.9513763518622005
31,1.92,1.92,433335.8620689655,315282.5517241379,466752.1034482759,309587.5862068966,450043.9827586207,312435.0689655172,10.270203164610482,5.956817330133789
32,1.86,1.86,364970.5,262697.93333333335,393449.23333333334,256595.62962962964,379209.8666666667,259646.7814814815,8.65373723878973,4.950367616424814
33,1.8,1.8,307154.3103448276,216760.44827586206,331343.0344827586,213215.06896551725,319248.6724137931,214987.75862068965,7.285396208664292,4.09890864863088
34,1.72,1.72,254847.7931034483,176049.8620689655,275161.24,173541.72413793104,265004.51655172417,174795.7931034483,6.047520528644274,3.3326175996844287
35,1.66,1.66,201776.3,136369.63333333333,218286.6,134471.36666666667,210031.45,135420.5,4.793010783603037,2.5818970448045757
36,1.6,1.6,165651.65384615384,109603.96551724138,178540.07142857142,109464.69230769231,172095.86263736262,109534.32891246685,3.9273038653703813,2.088357081267242
37,1.52,1.52,130681.79310344828,86416.35714285714,142097.8620689655,85793.44827586207,136389.8275862069,86104.90270935961,3.1124763191152973,1.6416568676712986
38,1.46,1.46,98134.86666666667,64553.93103448276,107279.83333333333,64581.2,102707.35,64567.56551724138,2.3438272511344915,1.2310308010913513
39,1.4,1.4,75573.72413793103,49558.857142857145,82896.30769230769,50198.06896551724,79235.01591511935,49878.46305418719,1.8081781834107478,0.9509716502228254
40,1.32,1.32,56609.13333333333,37449.73333333333,62934.03333333333,38290.9,59771.58333333333,37870.316666666666,1.3640140248981483,0.7220270098506514
41,1.26,1.26,38924.48275862069,26483.344827586207,44391.55172413793,27585.44827586207,41658.017241379304,27034.396551724138,0.9506544180000293,0.5154317741034155
42,1.2,1.2,28464.6,19950.6,32660.1,20786.5,30562.35,20368.55,0.6974463734943042,0.38834223069590085
43,1.12,1.12,19619.862068965518,14586.655172413793,23279.241379310344,15369.758620689656,21449.55172413793,14978.206896551725,0.48948827767100694,0.28557115150718254
44,1.06,1.06,12683.066666666668,9513.413793103447,15538.51724137931,10342.724137931034,14110.791954022989,9928.068965517241,0.3220145268759091,0.18928634824627724
45,1.0,1.0,8696.068965517241,7183.6551724137935,11118.310344827587,7833.172413793103,9907.189655172413,7508.413793103448,0.2260864592061895,0.14315374248052332
46,0.92,0.92,5815.782608695652,5110.620689655172,7754.7692307692305,5563.866666666667,6785.275919732441,5337.243678160919,0.15484300400249393,0.10175869739105661
47,0.86,0.86,2765.3333333333335,3028.3,4865.866666666667,4293.766666666666,3815.6000000000004,3661.0333333333333,0.0870736832313244,0.06980044486812838
48,0.8,0.8,1392.551724137931,1984.8214285714287,3184.793103448276,2189.6071428571427,2288.6724137931033,2087.214285714286,0.052228518916786676,0.03979436197739344
49,0.72,0.72,171.46666666666667,1130.0714285714287,1877.5333333333333,1982.0,1024.5,1556.0357142857142,0.02337954410066355,0.029667029824322483
50,0.66,0.66,-719.9666666666667,245.13333333333333,838.9642857142857,1050.4137931034484,59.498809523809484,647.7735632183908,0.001357789205660209,0.012350306257738624
51,0.6,0.6,-1539.4137931034484,-410.9655172413793,171.68,106.60714285714286,-683.8668965517242,-152.1791871921182,-0.015606145697330358,-0.002901414436456019
52,0.52,0.52,-1822.9666666666667,-837.0666666666667,-322.7931034482759,37.5,-1072.8798850574713,-399.78333333333336,-0.02448359452163591,-0.007622179853829044
53,0.46,0.46,-2517.1724137931033,-1235.4,-780.7142857142857,-442.2068965517241,-1648.9433497536945,-838.8034482758621,-0.03762961812109554,-0.015992439433286217
54,0.4,0.4,-2588.310344827586,-1534.7407407407406,-1034.5,-677.4814814814815,-1811.405172413793,-1106.111111111111,-0.041337068923980806,-0.0210888677046923
55,0.32,0.32,-2806.5,-1819.6333333333334,-1260.1666666666667,-815.8,-2033.3333333333335,-1317.7166666666667,-0.04640156792388081,-0.025123292024149986
56,0.26,0.26,-3006.9310344827586,-2087.740740740741,-1471.2857142857142,-1331.9333333333334,-2239.1083743842364,-1709.8370370370371,-0.05109744556864941,-0.03259937153550119
57,0.2,0.2,-3025.366666666667,-2383.1,-1615.5357142857142,-1576.9666666666667,-2320.4511904761903,-1980.0333333333333,-0.05295372468635952,-0.03775087384810931
58,0.12,0.12,-3322.206896551724,-2584.1785714285716,-1653.9285714285713,-1765.5714285714287,-2488.0677339901476,-2174.875,-0.05677880850391477,-0.041465681601525264
59,0.06,0.06,-3342.6296296296296,-2596.233333333333,-1751.0666666666666,-1224.3,-2546.848148148148,-1910.2666666666664,-0.058120203608904755,-0.036420718144264376
60,0.0,0.0,-3423.3928571428573,-2477.0344827586205,-1770.8214285714287,-1715.6,-2597.107142857143,-2096.31724137931,-0.059267136145023804,-0.0399679168995102
61,0.08,0.08,-3557.2,-2625.5172413793102,-1782.4642857142858,-1760.8620689655172,-2669.8321428571426,-2193.189655172414,-0.0609267528797439,-0.041814864731599885
62,0.14,0.14,-3298.4137931034484,-2283.8214285714284,-1599.4137931034484,-1443.7333333333333,-2448.9137931034484,-1863.777380952381,-0.055885298218238476,-0.035534363793181714
63,0.2,0.2,-3308.6666666666665,-2000.4333333333334,-1506.6333333333334,-1644.8148148148148,-2407.65,-1822.624074074074,-0.05494364016980244,-0.034749744024291214
64,0.28,0.28,-3046.535714285714,-1856.0344827586207,-1217.6896551724137,-1287.0333333333333,-2132.112684729064,-1571.5339080459771,-0.04865575650581484,-0.029962514929379926
65,0.34,0.34,-2733.0,-1666.076923076923,-1076.4074074074074,-612.8620689655172,-1904.7037037037037,-1139.46949602122,-0.04346618276177446,-0.02172487123014719
66,0.4,0.4,-2542.2,-1494.0,-745.8148148148148,-1287.5666666666666,-1644.0074074074073,-1390.7833333333333,-0.03751697772893999,-0.02651636479186527
67,0.48,0.48,-1919.3666666666666,-1179.7142857142858,-385.43333333333334,-714.8333333333334,-1152.3999999999999,-947.2738095238096,-0.026298278791219785,-0.018060511144400566
68,0.54,0.54,-1443.0,-612.3103448275862,215.19230769230768,302.1034482758621,-613.9038461538462,-155.10344827586204,-0.014009557876740672,-0.002957167745964958
69,0.6,0.6,-746.8620689655172,-147.46428571428572,816.7037037037037,398.8965517241379,34.92081736909324,125.71613300492609,0.0007969085307095491,0.0023968757484256645
70,0.68,0.68,-43.7,410.1666666666667,1575.5172413793102,1447.0333333333333,765.9086206896551,928.6,0.017478374206434534,0.017704480457578647
71,0.74,0.74,987.8,1277.7,2725.1,1512.8620689655172,1856.4499999999998,1395.2810344827585,0.04236501185522386,0.026602116958679856
72,0.8,0.8,2278.8928571428573,2107.259259259259,3944.5862068965516,2919.4137931034484,3111.7395320197047,2513.3365261813537,0.07101127537201839,0.04791871355922505
73,0.88,0.88,3567.3333333333335,3325.6,5693.896551724138,3897.6666666666665,4630.614942528736,3611.633333333333,0.10567268546807436,0.06885859548776613
74,0.94,0.94,6293.931034482759,5036.689655172414,8281.566666666668,5623.833333333333,7287.748850574713,5330.2614942528735,0.16630965900104597,0.10162557663017871
75,1.0,1.0,8767.896551724138,6993.259259259259,11075.724137931034,7948.068965517241,9921.810344827587,7470.66411238825,0.22642010982461336,0.14243401548881315
76,1.08,1.08,12323.9,9428.214285714286,15341.461538461539,10147.8,13832.68076923077,9788.007142857143,0.31566790636860065,0.18661596077897316
77,1.14,1.14,18000.44827586207,12987.92857142857,20946.241379310344,14183.344827586207,19473.344827586207,13585.636699507388,0.44439036035527585,0.25902071877039823
78,1.2,1.2,23688.0,16868.620689655174,27408.2,17721.7,25548.1,17295.160344827586,0.583018965971852,0.3297456691101542
79,1.28,1.28,32297.137931034482,22155.74074074074,36407.862068965514,23367.44827586207,34352.5,22761.594508301405,0.7839392764451386,0.4339674834757179
80,1.34,1.34,44610.1,30420.166666666668,50002.86666666667,31579.433333333334,47306.48333333334,30999.800000000003,1.0795549178516075,0.5910352716873213
81,1.4,1.4,57411.55172413793,38836.379310344826,63806.03448275862,40392.10344827586,60608.793103448275,39614.24137931035,1.3831195229380788,0.7552762894053451
82,1.48,1.48,74178.6,50103.793103448275,81893.63333333333,51095.76666666667,78036.11666666667,50599.779885057476,1.7808187711594525,0.9647241160163484
83,1.54,1.54,97788.58620689655,66134.24137931035,107214.68965517242,66130.56,102501.6379310345,66132.40068965517,2.3391328105406233,1.2608655994214524
84,1.6,1.6,120129.93333333333,81415.86206896552,131156.16666666666,81564.8,125643.04999999999,81490.33103448276,2.8672300911828943,1.5536764734887085
85,1.68,1.68,147701.75862068965,101537.69230769231,161126.6551724138,101116.75862068965,154414.2068965517,101327.22546419098,3.523800644125833,1.9318822776776163
86,1.74,1.74,183639.10344827586,128408.1724137931,199347.44827586206,127310.27586206897,191493.27586206896,127859.22413793104,4.36996143289192,2.4377354459090763
87,1.8,1.8,215285.46666666667,152990.33333333334,233228.2,151119.66666666666,224256.83333333334,152055.0,5.117640336546435,2.8990467111534794
88,1.88,1.88,253023.24137931035,182727.1379310345,273776.275862069,180933.37931034484,263399.7586206897,181830.25862068968,6.010899241363151,3.466735150060814
