frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correct_force_X(N),correct_force_Y(N)
1,0.06,0.06,-712.9310344827586,241.27586206896552,554.8888888888889,-310.88,-79.02107279693485,-34.802068965517236,-0.0018032959066253615,-0.0006811247473435216
2,0.12,0.12,1318.6666666666667,864.0370370370371,2810.689655172414,516.7333333333333,2064.6781609195405,690.3851851851853,0.0471168707827187,0.013511795384777087
3,0.18,0.18,3907.548387096774,1799.2413793103449,5571.193548387097,1802.5806451612902,4739.370967741936,1800.9110122358175,0.10815454616859645,0.03524632571163162
4,0.26,0.26,7964.9655172413795,4087.464285714286,10314.038461538461,3779.137931034483,9139.50198938992,3933.301108374384,0.20856748640219022,0.07698015673499137
5,0.32,0.32,14219.633333333333,8045.033333333334,16502.133333333335,8327.933333333332,15360.883333333335,8186.483333333334,0.3505421662438403,0.1602208304791728
6,0.38,0.38,19374.533333333333,12326.033333333333,22274.222222222223,12603.51724137931,20824.37777777778,12464.775287356322,0.47522153111218507,0.24395293643910992
7,0.46,0.46,26355.827586206895,18170.0,29393.58620689655,18953.48275862069,27874.706896551725,18561.741379310344,0.6361131665993182,0.36327901711146576
8,0.52,0.52,33957.833333333336,25296.366666666665,37748.86666666667,26252.766666666666,35853.350000000006,25774.566666666666,0.8181893386837732,0.5044440095247414
9,0.58,0.58,39531.862068965514,30712.344827586207,43612.03448275862,31478.103448275862,41571.94827586207,31095.224137931036,0.9486902860576099,0.6085766540352487
10,0.66,0.66,47210.53333333333,38101.206896551725,51694.833333333336,39003.2,49452.683333333334,38552.20344827586,1.1285321531359844,0.7545200792303721
11,0.72,0.72,55932.0,45919.25,61337.51724137931,47135.96551724138,58634.75862068965,46527.60775862069,1.3380711810680097,0.9106098005405752
12,0.78,0.78,61788.13333333333,51489.44827586207,67296.8,52142.1,64542.46666666667,51815.77413793103,1.472887697217121,1.01410654932833
13,0.86,0.86,70964.5172413793,59792.78571428572,77382.44827586207,60479.620689655174,74173.4827586207,60136.20320197045,1.6926717532991506,1.176948883490957
14,0.92,0.92,80632.5,68795.16666666667,87766.43333333333,69128.9,84199.46666666667,68962.03333333333,1.9214691500104284,1.3496826173467722
15,0.98,0.98,86213.13793103448,74776.31034482758,93857.37931034483,75185.31034482758,90035.25862068965,74980.81034482758,2.05464450906497,1.4674784292949914
16,1.06,1.06,95761.56666666667,84393.2,104156.93333333333,84877.26666666666,99959.25,84635.23333333334,2.281114391063204,1.656428874319079
17,1.12,1.12,105574.20689655172,94164.92857142857,114753.8275862069,94640.5172413793,110164.0172413793,94402.72290640394,2.5139917026852974,1.847592189184929
18,1.18,1.18,110501.66666666667,100237.27586206897,120220.03333333334,100578.13333333333,115360.85,100407.70459770114,2.6325857296876842,1.965118007587849
19,1.26,1.26,121259.6551724138,110930.3448275862,131507.93103448275,111026.37931034483,126383.79310344828,110978.3620689655,2.8841341771314855,2.1720004319202566
20,1.32,1.32,131244.5172413793,121192.96551724138,142266.58620689655,121576.75862068965,136755.5517241379,121384.8620689655,3.1208223060469082,2.3756700669138957
21,1.38,1.38,135390.93333333332,126800.13333333333,146828.03333333333,126865.86666666667,141109.48333333334,126833.0,3.220180955210849,2.482297680790684
22,1.46,1.46,146077.89285714287,138330.9655172414,158220.4827586207,138268.37931034484,152149.1878078818,138299.6724137931,3.472111904572487,2.7067163599920363
23,1.52,1.52,156512.58620689655,149294.17857142858,169357.10344827586,149304.9655172414,162934.8448275862,149299.572044335,3.718245378410272,2.9219996485827378
24,1.58,1.58,160150.5,154255.96666666667,173027.73333333334,154423.3,166589.11666666667,154339.63333333333,3.8016374815021163,3.020640636722445
25,1.66,1.66,170854.5172413793,166549.0344827586,184795.58620689655,166206.62068965516,177825.0517241379,166377.8275862069,4.058046499743543,3.2562447908054977
26,1.72,1.72,180816.93333333332,177215.93103448275,195137.73333333334,177117.3103448276,187977.3333333333,177166.6206896552,4.289726065975401,3.4673964319337545
27,1.78,1.78,184181.55172413794,182211.82142857142,198666.7931034483,181604.7931034483,191424.1724137931,181908.30726600986,4.368384461572766,3.5601978132108787
28,1.86,1.86,194616.58620689655,193920.4827586207,209862.1724137931,193380.41379310345,202239.3793103448,193650.4482758621,4.615192276697931,3.7900077948108835
29,1.92,1.92,205857.3,206099.03333333333,221379.1,204993.1,213618.2,205546.06666666665,4.8748620083986,4.0228215415728865
30,1.98,1.98,208720.6896551724,210644.5172413793,224560.65384615384,210159.6551724138,216640.67175066314,210402.08620689655,4.9438361534328985,4.11786057749088
31,1.92,1.92,193857.44827586206,198127.85714285713,209999.4642857143,194431.75862068965,201928.45628078817,196279.8078817734,4.608096875349535,3.84146800825469
32,1.86,1.86,124488.36666666667,122573.13333333333,132417.82142857142,121757.83333333333,128453.09404761904,122165.48333333334,2.931356541877005,2.3909479074925795
33,1.8,1.8,77223.68965517242,73680.93103448275,84476.55172413793,73650.79310344828,80850.12068965517,73665.8620689655,1.845035590246719,1.441743068186036
34,1.72,1.72,44090.03333333333,39712.73333333333,49065.566666666666,40597.89655172414,46577.8,40155.314942528734,1.0629260412024273,0.7858951940997893
35,1.66,1.66,20728.655172413793,16849.137931034482,23961.58620689655,16935.48275862069,22345.120689655174,16892.310344827587,0.5099255584172208,0.33060593687890377
36,1.6,1.6,9865.433333333332,7642.0,12810.535714285714,7316.466666666666,11337.984523809522,7479.233333333334,0.25873783229579844,0.14637896728316535
37,1.52,1.52,3438.2413793103447,2629.25,5322.321428571428,2336.344827586207,4380.281403940887,2482.7974137931033,0.09995996315934837,0.048591788116119056
