frame,axis_0_2,axis_1_3,tenzo_0,tenzo_1,tenzo_2,tenzo_3,mean_tenzo_0_2,mean_tenzo_1_3,correlation_force_0_2,correlation_force_1_3
2,0.1,0.1,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
3,0.2,0.2,0.01,0.01,0.01,0.04,0.01,0.025,0.0096713,0.022000000000000002
4,0.3,0.3,0.01,0.0,0.02,0.03,0.015,0.015,0.01450695,0.0132
5,0.4,0.4,0.0,0.01,0.03,0.02,0.015,0.015,0.01450695,0.0132
6,0.5,0.5,0.04,0.03,0.06,0.02,0.05,0.025,0.048356500000000004,0.022000000000000002
7,0.6,0.6,0.06,0.02,0.09,0.01,0.075,0.015,0.07253475,0.0132
8,0.7,0.7,0.12,0.05,0.15,0.02,0.135,0.035,0.13056255000000003,0.030800000000000004
9,0.8,0.8,6.02,0.09,0.31,0.06,3.1649999999999996,0.075,3.0609664499999996,0.066
10,0.9,0.9,0.34,0.12,0.4,0.1,0.37,0.11,0.3578381,0.0968
11,1.0,1.0,0.46,0.16,0.54,0.13,0.5,0.14500000000000002,0.483565,0.12760000000000002
12,1.1,1.1,0.67,0.22,0.79,0.21,0.73,0.215,0.7060049,0.1892
13,1.2,1.2,0.95,0.31,1.09,0.31,1.02,0.31,0.9864726,0.2728
14,1.3,1.3,1.32,0.44,1.48,0.36,1.4,0.4,1.353982,0.35200000000000004
15,1.4,1.4,1.78,0.62,2.01,0.61,1.895,0.615,1.83271135,0.5412
16,1.5,1.5,2.27,0.79,2.49,0.79,2.38,0.79,2.3017694,0.6952
17,1.6,1.6,2.79,1.03,3.01,1.03,2.9,1.03,2.804677,0.9064
18,1.7,1.7,3.34,1.26,3.56,1.26,3.45,1.26,3.3365985000000005,1.1088
19,1.8,1.8,3.91,1.57,4.17,1.56,4.04,1.565,3.9072052000000004,1.3772
20,1.9,1.9,4.54,1.91,4.87,1.95,4.705,1.93,4.550346650000001,1.6984
21,1.8,1.8,5.04,2.27,5.28,2.29,5.16,2.2800000000000002,4.9903908,2.0064
22,1.7,1.7,5.28,2.3,4.76,1.92,5.02,2.11,4.8549926,1.8568
23,1.6,1.6,3.46,1.13,2.54,0.92,3.0,1.025,2.90139,0.9019999999999999
24,1.5,1.5,2.0,0.77,1.84,0.62,1.92,0.6950000000000001,1.8568896,0.6116
25,1.4,1.4,1.34,0.49,1.19,0.36,1.2650000000000001,0.425,1.2234194500000002,0.374
26,1.3,1.3,0.77,0.29,0.69,14.57,0.73,7.43,0.7060049,6.5384
27,1.2,1.2,0.41,0.15,0.37,0.08,0.39,0.11499999999999999,0.37718070000000004,0.1012
28,1.1,1.1,0.22,0.08,0.21,0.03,0.215,0.055,0.20793295,0.0484
29,1.0,1.0,0.1,0.04,0.11,0.01,0.10500000000000001,0.025,0.10154865000000002,0.022000000000000002
30,0.9,0.9,0.04,0.01,0.06,0.04,0.05,0.025,0.048356500000000004,0.022000000000000002
31,0.8,0.8,0.01,0.0,0.03,0.04,0.02,0.02,0.0193426,0.0176
32,0.7,0.7,0.01,0.01,0.02,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
33,0.6,0.6,0.02,0.01,0.01,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
34,0.5,0.5,0.03,0.01,0.0,0.04,0.015,0.025,0.01450695,0.022000000000000002
35,0.4,0.4,0.03,0.01,0.0,14.71,0.015,7.36,0.01450695,6.4768
36,0.3,0.3,0.04,0.02,0.01,0.06,0.025,0.04,0.024178250000000002,0.0352
37,0.2,0.2,0.04,0.02,0.0,14.7,0.02,7.359999999999999,0.0193426,6.4768
38,0.1,0.1,0.04,0.02,0.0,0.07,0.02,0.045000000000000005,0.0193426,0.0396
39,0.0,0.0,0.04,0.02,0.01,0.05,0.025,0.035,0.024178250000000002,0.030800000000000004
40,-0.1,-0.1,0.05,0.02,0.01,0.05,0.030000000000000002,0.035,0.029013900000000002,0.030800000000000004
41,0.0,0.0,0.04,0.02,0.01,0.05,0.025,0.035,0.024178250000000002,0.030800000000000004
42,0.1,0.1,0.05,0.02,0.01,0.05,0.030000000000000002,0.035,0.029013900000000002,0.030800000000000004
43,0.2,0.2,0.04,0.02,0.0,0.05,0.02,0.035,0.0193426,0.030800000000000004
44,0.3,0.3,0.04,0.02,0.0,0.04,0.02,0.03,0.0193426,0.0264
45,0.4,0.4,2.84,0.01,0.0,0.04,1.42,0.025,1.3733246,0.022000000000000002
46,0.5,0.5,0.03,0.01,0.0,0.05,0.015,0.030000000000000002,0.01450695,0.026400000000000003
47,0.6,0.6,0.03,0.01,0.01,0.04,0.02,0.025,0.0193426,0.022000000000000002
48,0.7,0.7,0.02,0.01,0.01,0.04,0.015,0.025,0.01450695,0.022000000000000002
49,0.8,0.8,0.01,0.01,0.02,0.03,0.015,0.02,0.01450695,0.0176
50,0.9,0.9,0.0,0.0,0.03,0.03,0.015,0.015,0.01450695,0.0132
51,1.0,1.0,0.02,0.01,0.05,0.03,0.035,0.02,0.033849550000000006,0.0176
52,1.1,1.1,0.05,0.02,0.09,0.01,0.07,0.015,0.06769910000000001,0.0132
53,1.2,1.2,0.09,0.03,0.13,0.01,0.11,0.02,0.1063843,0.0176
54,1.3,1.3,0.16,0.06,0.2,0.03,0.18,0.045,0.1740834,0.039599999999999996
55,1.4,1.4,0.26,0.12,0.35,0.1,0.305,0.11,0.29497465,0.0968
56,1.5,1.5,0.46,0.2,0.56,0.18,0.51,0.19,0.4932363,0.16720000000000002
