[1696849145392362500, 1, ((0.12, 0.12), (0.12, 0.12)), '1779,309,1307,1201']
[1696849145425366100, 1, ((0.12, 0.12), (0.12, 0.12)), '1866,-163,1347,1519']
[1696849145458364800, 1, ((0.12, 0.12), (0.12, 0.12)), '2079,90,1363,2497']
[1696849145491406300, 1, ((0.12, 0.12), (0.12, 0.12)), '1878,189,1290,-498']
[1696849145525405700, 1, ((0.12, 0.12), (0.12, 0.12)), '2183,247,1447,894']
[1696849145558412800, 1, ((0.12, 0.12), (0.12, 0.12)), '2086,37,1338,386']
[1696849145592465000, 1, ((0.12, 0.12), (0.12, 0.12)), '2146,-64,1368,2166']
[1696849145625464700, 1, ((0.12, 0.12), (0.12, 0.12)), '1553,-49,1349,-569']
[1696849145659467700, 1, ((0.12, 0.12), (0.12, 0.12)), '1819,19,1466,1233']
[1696849145692574100, 1, ((0.12, 0.12), (0.12, 0.12)), '1793,-177,1501,353']
[1696849145725574200, 1, ((0.12, 0.12), (0.12, 0.12)), '640,610,209,671']
[1696849145759576800, 1, ((0.12, 0.12), (0.12, 0.12)), '-981,-338,-2414,435']
[1696849145792867300, 1, ((0.12, 0.12), (0.12, 0.12)), '-2333,-72,-4442,1572']
[1696849145826869400, 1, ((0.12, 0.12), (0.12, 0.12)), '-4971,27,-6861,1215']
[1696849145859874800, 1, ((0.12, 0.12), (0.12, 0.12)), '-7773,122,-9370,-90']
[1696849145893379400, 1, ((0.12, 0.12), (0.12, 0.12)), '-11053,436,-13259,771']
[1696849145926379800, 1, ((0.12, 0.12), (0.12, 0.12)), '-12912,-255,-15186,1578']
[1696849145960380900, 1, ((0.12, 0.12), (0.12, 0.12)), '-13541,-211,-16413,1579']
[1696849145993888400, 1, ((0.12, 0.12), (0.12, 0.12)), '-15559,-334,-17775,50036']
[1696849146027888700, 1, ((0.12, 0.12), (0.12, 0.12)), '-17369,-64,-20777,-34909']
[1696849146060893300, 1, ((0.12, 0.12), (0.12, 0.12)), '-20836,-394,-23685,-34909']
[1696849146093917300, 1, ((0.12, 0.12), (0.12, 0.12)), '-22398,-129,-24979,408']
[1696849146127919400, 1, ((0.12, 0.12), (0.12, 0.12)), '-22821,117,-25690,1627']
[1696849146161015100, 1, ((0.12, 0.12), (0.12, 0.12)), '-24701,345,-27366,1468']
[1696849146194069000, 1, ((0.12, 0.12), (0.12, 0.12)), '-26312,451,-30267,210']
[1696849146227070800, 1, ((0.12, 0.12), (0.12, 0.12)), '-28616,148,-31786,1739']
[1696849146261106100, 1, ((0.12, 0.12), (0.12, 0.12)), '-30118,477,-33438,2646']
[1696849146293144200, 1, ((0.12, 0.12), (0.12, 0.12)), '-30678,48,-34109,924']
[1696849146327143100, 1, ((0.12, 0.12), (0.12, 0.12)), '-31460,397,-34743,856']
[1696849146361147800, 1, ((0.12, 0.12), (0.12, 0.12)), '-34058,-201076,-37507,1381']
[1696849146394214000, 2, ((0.13, 0.13), (0.13, 0.13)), '-36036,-319,-40230,1726']
[1696849146427212400, 2, ((0.13, 0.13), (0.13, 0.13)), '-36686,-54,-41054,3321']
[1696849146460214100, 2, ((0.13, 0.13), (0.13, 0.13)), '-37310,649,-41337,1980']
[1696849146493240800, 2, ((0.13, 0.13), (0.13, 0.13)), '-38299,184,-42475,1362']
[1696849146526237800, 2, ((0.13, 0.13), (0.13, 0.13)), '-40720,184,-45203,1764']
[1696849146560240400, 2, ((0.13, 0.13), (0.13, 0.13)), '-42142,97,-47254,2253']
[1696849146594284600, 2, ((0.13, 0.13), (0.13, 0.13)), '-43469,-111,-47595,2284']
[1696849146626469900, 2, ((0.13, 0.13), (0.13, 0.13)), '-42763,198,-48061,1319']
[1696849146660474300, 2, ((0.13, 0.13), (0.13, 0.13)), '-42763,399,-49509,48']
[1696849146694653900, 2, ((0.13, 0.13), (0.13, 0.13)), '-42763,205,-51143,-617']
[1696849146728656800, 2, ((0.13, 0.13), (0.13, 0.13)), '179002,11,-53731,1779']
[1696849146760657600, 2, ((0.13, 0.13), (0.13, 0.13)), '179002,163,-54199,-998']
[1696849146794728900, 2, ((0.13, 0.13), (0.13, 0.13)), '-49367,333,-54397,1542']
[1696849146827728500, 2, ((0.13, 0.13), (0.13, 0.13)), '-50816,464,-55609,773']
[1696849146861732300, 2, ((0.13, 0.13), (0.13, 0.13)), '-52563,-293,-58337,1816']
[1696849146894809600, 2, ((0.13, 0.13), (0.13, 0.13)), '-54159,-78,-59404,3107']
[1696849146927808500, 2, ((0.13, 0.13), (0.13, 0.13)), '-54031,87,-59605,756']
[1696849146961818000, 2, ((0.13, 0.13), (0.13, 0.13)), '-54391,-201076,-60052,2090']
[1696849146994877500, 2, ((0.13, 0.13), (0.13, 0.13)), '-56654,554,-62038,3365']
